CAS	Name	A	B	C	Tmin	Tmax
58429-99-5	9,10-Dimethylbenz[a]-anthracene	39.680448907566394	16235.527490701017	0.0	379.0	396.0
58802-08-7	1,2,4,7,8-Penta-chlorodibenzo-p-dioxin	38.85388993673432	16501.6833016002	0.696	298.0	398.0
58802-14-5	2,4,6-Trichloro-dibenzofuran	35.870637664400306	12964.330044732818	-11.841	298.0	390.0
58802-15-6	1,2,4,7,8-Penta-chlorodibenzofuran	36.87741997046102	15763.997207602417	3.255	298.0	398.0
58802-16-7	1,3,4,7,8-Penta-chlorodibenzofuran	38.3013846436704	15505.994850517527	-3.807	298.0	398.0
58802-20-3	1,2,7,8-Tetrachloro-dibenzofuran	36.69954527202723	15176.681433102613	7.555	298.0	398.0
59264-09-4	1,3,5,6-Tetramethyluracil	35.9774545868643	12558.67902372987	0.0	316.0	322.0
59300-34-4	N-Isopropyl-N-(2-propynyl)carbamo-thioic acid S-ethyl ester	30.240563827669632	8902.968287912408	0.0	298.0	314.0
59300-35-5	N-Butyl-N-(2-propynyl)carbamo-thioic acid S-ethyl ester	32.737510128363304	9881.405771478367	0.0	298.0	314.0
59300-36-6	N,N-Dipropyl-carbamothioic acid S-(2-propynyl) ester	36.36325271919545	11119.70840346945	0.0	298.0	314.0
60851-34-5	2,3,4,6,7,8-Hexa-chlorodibenzofuran	37.75049116017158	16445.53476410754	-0.279	298.0	398.0
62308-10-5	4'-Nitro-2-methyl-4-aminoazobenzene	38.277944327423725	16233.224905608024	0.0	1.0	425.0
62615-08-1	1,2,3,8-Tetrachloro-dibenzofuran	36.763234775699445	15026.656501368585	5.091	298.0	398.0
62850-21-9	2,2,5,5-Tetramethyl-3,4-di-tert-butylhexane,(1,1,2,2-Tetra-tert-butylethane)	13.71200935803419	1418.49833619861	-210.115	321.0	366.0
63147-26-2	N,N-Dimethyl-N-sulfomethaninium hydroxide	30.85671257270391	7287.681819326155	0.0	292.0	349.0
64126-86-9	2,3-Dichloro-dibenzofuran	34.77200523898006	12459.651746635476	-2.294	298.0	398.0
64560-17-4	1,3,7,9-Tetrachloro-dibenzofuran	35.459465044344356	14287.918125983306	-2.676	298.0	398.0
66467-05-8	Bis(propylene)-2,4-pentandionatoiridium	34.94380111276834	10965.831246874843	0.0	269.0	304.0
66794-59-0	1,4,6,7-Tetrachloro-dibenzofuran	36.77716541551206	14736.846233809078	0.549	298.0	398.0
67028-17-5	1,3,7-Trichloro-dibenzo-p-dioxin	35.39423280865984	13119.74993333973	-10.531	298.0	398.0
67028-18-6	1,2,3,7-Tetrachloro-dibenzo-p-dioxin	36.98898021821658	14566.220073248032	-11.428	298.0	398.0
67316-66-9	Bis(1,1,1,5,5,5-hexafluoro(2,4-pentandione)dioxo-uranium	44.900409313383896	17683.853514194274	0.0	370.0	425.0
67481-22-5	2,3,4,6,8-Penta-chlorodibenzofuran	36.471220934205945	15230.281008897327	-3.428	298.0	398.0
67517-48-0	1,2,3,4,8-Penta-chlorodibenzofuran	38.24494828304111	15664.18474899131	-1.444	298.0	398.0
67562-39-4	1,2,3,4,6,7,8-Hepta-chlorodibenzofuran	40.10649622732308	18036.556590983822	6.12	298.0	398.0
67562-40-7	1,2,4,6,7,8-Hexa-chlorodibenzofuran	38.76931598626865	16854.020267359963	3.188	298.0	398.0
69090-74-0	Bis[bis(3-methylbutyl)dithio-carbamate]copper	37.30395083308724	17925.624948958648	0.0	427.0	458.0
69433-00-7	1,2,6,7,8-Penta-chlorodibenzofuran	37.12246107605745	15689.494764333502	1.7	298.0	398.0
69698-57-3	1,2,4,6,8-Penta-chlorodibenzofuran	36.619921879511494	15064.801126019125	-6.252	298.0	398.0
69698-58-4	1,2,3,4,6,8,9-Hepta-chlorodibenzofuran	40.514353124845115	17822.837550407392	2.941	298.0	398.0
