CAS	Name	A	B	C	Tmin	Tmax
2885-00-9	1-Octadecanethiol	21.232137142498097	4745.627876660728	-144.15	492.0	670.0
2890-62-2	Methyl-(1-methyl-cyclohexyl) ketone	23.455306075634777	5430.020638681163	-4.168	375.0	459.0
2892-51-5	1,2-Dihydroxy-1-cyclobuten-3,4-dione	36.862798555120506	18408.481648129684	0.938	469.0	498.0
2909-38-8	4ClNO Phenylisocyanate, 3-chloro-	19.78111709444604	3047.0753259416247	-111.198	344.0	431.0
2915-60-8	Phthalic acid ditetradecyl ester	60.16905829768578	26872.03150465039	0.0	412.0	461.0
2917-26-2	1-Hexadecanethiol	21.18378285554522	4582.144335058151	-133.15	470.0	643.0
2917-73-9	Azelaic acid dibutyl ester	51.928428611773114	30607.941279256833	235.304	313.0	363.0
2922-51-2	2-Heptadecanone	22.044949680324994	5034.832564340781	-114.15	456.0	626.0
2923-68-4	3,5,7,8-Tetrachloro-2,2,3,4,4,5,-6,6,7,8,8-undecafluoro octanoic acid	37.603332946878325	12547.221360307132	0.0	373.0	481.0
2934-05-6	2,4-Diisopropyl-phenol	22.19047305820222	4885.263544455167	-69.321	395.0	528.0
2967-12-6	N,N-Bis(trifluoro-methyl)carbamoyl bromide	22.79766474722475	3691.0439040694555	0.0	237.0	293.0
2967-53-5	1,1,2-Trifluoro-3-(trifluoromethyl)-cyclopropane	23.610477285051648	3575.9146494197535	0.0	293.0	353.0
2980-69-0	4-Methylundecane	24.56413895301699	6286.925378453804	1.933	360.0	480.0
2985-28-6	2-Acetoxypropionic acid ethyl ester	22.118632403300804	3981.5656704227004	-78.058	309.0	454.0
2998-23-4	Pentyl acrylate	23.804585208391043	5402.539285596279	0.0	325.0	440.0
3001-66-9	2-Octanethiol	20.61987976627098	3381.9909328877948	-87.65	347.0	489.0
3015-66-5	Tetrachloro phthalic acid dibutyl ester	30.61581612027487	11979.551241820753	0.0	367.0	417.0
3015-98-3	Tripropylindium	24.423289822878544	6255.663180646225	0.0	400.0	483.0
3017-68-3	cis-2-Bromo-2-butene	21.044430405717222	3057.259659807937	-46.421	287.0	368.0
3017-69-4	Isocrotyl bromide	20.73991352716876	2911.572798389111	-48.15	364.15	364.15
3017-70-7	Bromotrimethyl-ethylene	20.626626340593454	3030.478292591323	-58.15	391.15	391.15
3017-71-8	trans-2-Bromo-2-butene	20.858128245843073	2901.0707077799657	-48.089	280.0	360.0
3019-20-3	(Isopropylthio)-benzene	16.44186214088421	1981.7889378381153	-78.0	481.15	481.15
3021-89-4	2-Pentyl-2-nonenalm	22.064084162447774	4957.548598279529	-83.025	385.0	553.0
3025-52-3	4-Nitro-4'-(N,N-diethylamino)azo-benzene	42.7336767408765	18211.14550048991	0.0	423.0	443.0
3031-73-0	Methyl hydroperoxide	24.159183312712127	4521.1534611149245	-0.696	243.0	323.0
3031-74-1	Ethyl hydroperoxide	25.23379977561245	5130.159587190734	0.0	253.0	363.0
3032-55-1	Metriol trinitrate	29.977148093031115	9541.79979869777	-16.474	300.0	345.0
3035-75-4	2,2,4,10,12,12-Hexamethyl-7-(3,5,5-trimethylhexyl)-tridecane	25.208816727353465	7798.662292823023	-57.989	330.0	490.0
3043-33-2	Trimethylallene	20.030809421930314	2467.634392459859	-55.0	345.15	345.15
3048-64-4	5-Ethenylbicyclo[2.2.1]hept-2-ene	20.235992779567013	2946.6043279939227	-75.877	335.0	410.0
3048-65-5	Bicyclo[4.3.0]nona-3,7-diene	22.724258334460096	4679.117706249595	-14.118	338.0	372.0
3054-92-0	2,3,4-Trimethyl-3-pentanol	23.58146471287992	5183.119044329597	-0.15	324.0	446.0
3055-93-4	2-[2-(Dodecyloxy)-ethoxy] ethanol	14.748541063496392	4676.987815038577	0.0	445.0	497.0
3055-94-5	2-[2-[2-(Dodecyl-oxy)ethoxy]ethoxy]ethanol	16.24248129768186	5708.589685816675	0.0	476.0	522.0
3073-66-3	1,1,3-Trimethylcyclohexane	20.64624436558576	3214.238398522806	-57.31	327.0	411.0
3074-61-1	1-Propylcyclopentene	20.715206789120934	3096.3161081553026	-67.347	344.0	405.0
