CAS	Chemical	formula	Hfl	Gfl	S0l	Cpl	Hfg	Gfg	S0g	Cpg
13465-72-0	Triiodosilane	HI3Si					-74475.0	-109250.0	375.009	83.884
13465-73-1	Bromosilane	H3BrSi					-78241.0	-69751.0	262.466	52.865
13465-78-6	Chlorosilane	H3ClSi					-141838.0	-119292.0	250.761	51.098
13465-83-3	Diiodosilylene	I2Si					92466.0	37008.0	320.972	54.624
13465-84-4	Tetraiodosilane	I4Si	-174603.0	-187485.0	294.309	159.8	-110458.0	-159755.0	416.449	100.574
13470-08-1	Titanium Fluoride	F3Ti					-1188674.0	-1175704.0	291.44	65.585
13470-11-6	Tungsten Bromide	Br5W	-298059.0	-262330.0	293.341	182.004	-199158.0	-213540.0	461.411	127.212
13470-12-7	Tungsten Chloride	Cl2W					-12552.0	-28556.0	309.416	58.06
13470-13-8	Tungsten Chloride	Cl4W					-335975.0	-306300.0	379.285	98.865
13470-14-9	Tungsten Chloride	Cl5W	-495387.0	-393462.0	248.498	182.004	-412542.0	-357485.0	405.693	120.235
13478-20-1	Phosphoryl Fluoride	F3OP					-1254250.0	-1205824.0	285.413	68.815
13478-41-6	Copper Fluoride	CuF					-12552.0	-39963.0	226.495	33.379
13478-45-0	Niobium Bromide	Br5Nb	-545074.0	-502446.0	274.005	147.904	-443588.0	-453212.0	449.259	125.806
13497-96-6	Aluminum Chloride Fluoride	AlCl2F					-790776.0	-778449.0	311.403	68.804
13517-10-7	Triiodoborane	BI3					71128.0	20838.0	348.721	70.787
13520-59-7	Molybdenum Bromide	Br4Mo					-171126.0	-196728.0	418.889	102.884
13520-76-8	Tungsten Chloride Oxide	Cl2O2W					-671532.0	-639642.0	353.927	87.199
13520-78-0	Tungsten Chloride Oxide	Cl4OW	-630573.0	-532832.0	253.565	182.004	-573493.0	-512577.0	377.079	106.138
13520-79-1	Tungsten Fluoride Oxide	F4OW	-1405255.0	-1297355.0	178.915	182.004	-1336621.0	-1275170.0	334.705	95.853
13536-94-2	Hydrogen Sulfide-D	D2S					-23891.0	-35300.0	215.284	35.761
