CAS	Compound	Hfg
696-29-7	Isopropylcyclohexane	-93810
760-20-3	3-Methyl-1-pentene	-46110
760-21-4	2-Ethyl-1-Butene	-54060
762-62-9	4,4-Dimethyl-1-pentene	-82220
763-29-1	2-Methyl-1-pentene	-56730
764-93-2	1-Decyne	41210
766-90-5	cis-1-Propenyl benzene	121330
767-58-8	5-Methyl-2,3-Dihydroindene	-1130
767-59-9	1-Methylindene	90250
816-79-5	3-Ethyl-2-Pentene	-87950
821-95-4	1-Undecene	-144770
827-52-1	Cyclohexylbenzene	-20920
871-83-0	2-Methylnonane	-256520
872-05-9	1-Decene	-124140
872-50-4	N-Methyl-2-Pyrrolidone	-195390
874-41-9	1,3-Dimethyl-4-ethylbenzene	-30800
922-61-2	cis-3-Methyl-2-Pentene	-59920
930-89-2	cis-1-Methyl-2-Ethylcyclopentane	-78700
930-90-5	trans-1-Methyl-2-Ethylcyclopentane	-78700
932-39-8	cis-1,2-Diethylcyclopentane	-99410
933-98-2	1,2-Dimethyl-3-ethylbenzene	-25650
934-74-7	1,3-Dimethyl-5-ethylbenzene	-35400
934-80-5	1,2-Dimethyl-4-Ethylbenzene	-32090
1067-08-9	3-Methyl-3-Ethylpentane	-214850
1067-20-5	3,3-Diethylpentane	-232840
1068-87-7	2,4-Dimethyl-3-ethylpentane	-227940
1069-53-0	2,3,5-Trimethylhexane	-242550
1070-87-7	2,2,4,4-Tetramethylpentane	-242260
1071-26-7	2,2-Dimethylheptane	-246100
1071-81-4	2,2,5,5-Tetramethylhexane	-285900
1072-05-5	2,6-Dimethylheptane	-242800
1072-16-8	2,7-Dimethyloctane	-263510
1074-17-5	1-Methyl-2-n-propylbenzene	-19780
1074-43-7	1-Methyl-3-n-propylbenzene	-24140
1074-55-1	1-Methyl-4-n-Propylbenzene	-23140
1076-61-5	6,7-Dimethyl-[1,2,3,4-Tetrahydronaphthalene]	-46690
1077-16-3	n-Hexylbenzene	-54600
1078-71-3	n-Heptylbenzene	-75300
1081-77-2	n-Nonylbenzene	-116800
1120-21-4	n-Undecane	-270160
1120-36-1	1-Tetradecene	-206520
1127-76-0	1-Ethylnaphthalene	323890
1134-62-9	2-n-Butylnaphthalene	85670
1186-53-4	2,2,3,4-Tetramethylpentane	-234970
1191-96-4	Ethylcyclopropane	52590
1192-18-3	cis-1,2-Dimethylcyclopentane	-129540
1310-73-2	Sodium Hydroxide	-197770
1453-24-3	1-Ethylcyclohexene	-56230
1459-09-2	n-Hexadecylbenzene	-261910
1459-10-5	n-Tetradecylbenzene	-220400
1574-41-0	cis-1,3-Pentadiene	82780
1590-08-5	1-Methyl-[1,2,3,4-Tetrahydronaphthalene]	-36820
1632-16-2	2-Ethyl-1-Hexene	-97000
1634-04-4	Methyl-tert-Butyl Ether	-292880
1634-09-9	1-n-Butylnaphthalene	85670
1638-26-2	1,1-Dimethylcyclopentane	-127070
1640-89-7	Ethylcyclopentane	-127070
1678-91-7	Ethylcyclohexane	-171750
1678-92-8	n-Propylcyclohexane	-193300
1678-93-9	n-Butylcyclohexane	-213170
1678-98-4	iso-butylcyclohexane	-136740
1758-88-9	1,4-Dimethyl-2-ethylbenzene	-32180
1759-58-6	trans-1,3-Dimethylcyclopentane	-133590
1795-15-9	n-Octylcyclohexane	-295600
1795-16-0	n-Decylcyclohexane	-336850
1795-17-1	n-Undecylcyclohexane	-357440
1795-18-2	n-Dodecylcyclohexane	-378070
1795-20-6	n-Octylcyclopentane	-250700
1795-21-7	n-Decylcyclopentane	-291960
1795-22-8	n-Tetradecylcyclopentane	-374380
2027-19-2	2-n-Propylnaphthalene	-58910
2039-93-2	1-Ethyl-3-Ethenyl Benzene	85810
2040-95-1	n-Butylcyclopentane	-168280
2040-96-2	n-Propylcyclopentane	-148070
2131-18-2	n-Pentadecylbenzene	-241210
2146-38-5	1-Ethylcyclopentene	-22430
2177-47-1	2-Methylindene	125360
2189-60-8	n-Octylbenzene	538810
2207-01-4	cis-1,2-Dimethylcyclohexane	-172170
2207-03-6	trans-1,3-Dimethylcyclohexane	-176560
2207-04-7	trans-1,4-Dimethylcyclohexane	-184600
2213-32-3	2,4-Dimethyl-1-pentene	-84940
2216-33-3	3-Methyloctane	-233700
2216-34-4	4-Methyloctane	-235210
2436-90-0	3,7-Dimethyl-1,6-Octadiene	-72590
2437-56-1	1-Tridecene	-185980
2452-99-5	trans-1,2-Dimethylcyclopentane	-136690
2511-95-7	cis-1,2-Dimethylcyclopropane	31130
2532-58-3	cis-1,3-Dimethylcyclopentane	-135860
2613-65-2	trans-1-Methyl-3-ethylcyclopentane	-78700
2613-66-3	cis-1-Methyl-3-ethylcyclopentane	-78700
2613-69-6	1,c-2,c-3-Trimethylcyclopentane	-78700
2613-70-9	1,t-2,c-4-Trimethylcyclopentane	-100160
2613-72-1	1,c-2,c-4-Trimethylcyclopentane	-100160
2698-14-8	1-Methyl-4-(trans-1-n-Propenyl)Benzene	106610
2721-38-2	1,1-Diethylcyclopentane	-99410
2738-19-4	2-Methyl-2-hexene	-87950
2765-18-6	1-n-Propylnaphthalene	61210
2870-04-4	1,3-Dimethyl-2-Ethylbenzene	-26230
2876-46-2	2-n-Hexylnaphthalene	29330
2876-51-9	1-n-Octylnaphthalene	-14770
2876-52-0	1-n-Heptylnaphthalene	-80960
2876-53-1	1-n-Hexylnaphthalene	7280
2882-98-6	n-Nonylcyclopentane	-271330
2883-02-5	n-Nonylcyclohexane	-316230
3074-61-1	1-n-Propylcyclopentene	-44480
3178-22-1	tert-butylcyclohexane	-125940
3221-61-2	2-Methyloctane	-235850
3404-58-8	3-Ethyl-1-Hexene	-105390
3404-61-3	3-Methyl-1-hexene	-63600
3404-62-4	cis-5-Methyl-2-Hexene	-95270
3404-71-5	2-Ethyl-1-Pentene	-75440
3404-72-6	2,3-Dimethyl-1-pentene	-85730
3404-73-7	3,3-Dimethyl-1-pentene	-78080
3452-07-1	1-Eicosene	-330240
3452-09-3	1-Nonyne	61800
3522-94-9	2,2,5-Trimethylhexane	-253300
3524-73-0	5-Methyl-1-hexene	-70670
3683-19-0	cis-4-Methyl-2-hexene	-83310
3683-22-5	trans-4-Methyl-2-hexene	-83310
3741-00-2	n-Pentylcyclopentane	-188910
3769-23-1	4-Methyl-1-hexene	-70670
3788-32-7	Isobutylcyclopentane	-98070
3875-51-2	Isopropylcyclopentane	-65940
3899-36-3	trans-3-Methyl-3-hexene	-87160
4038-04-4	3-Ethyl-1-Pentene	-69830
4049-81-4	2-Methyl-1,5-Hexadiene	101840
4170-30-3	trans-Crotonaldehyde	-103600
4259-00-1	1,1,2-Trimethylcyclopentane	-100160
4292-75-5	n-Hexylcyclohexane	-254390
4292-92-6	n-pentylcyclohexane	-233800
4443-55-4	n-Eicosylcyclohexane	-437190
4445-06-1	n-Tetradecylcyclohexane	-419280
4457-00-5	n-Hexylcyclopentane	-209490
4516-69-2	1,1,3-Trimethylcyclopentane	-100160
4669-01-6	n-Pentadecylcyclopentane	395010
4806-61-5	Ethylcyclobutane	46730
4810-09-7	3-Methyl-1-Heptene	-128700
4850-28-6	1,c-2,t-4-Trimethylcyclopentane	-100160
4914-89-0	cis-3-Methyl-3-hexene	-87160
