CAS	name	Hfg	S0g
13465-09-3	indium (III) bromide	-282000	
13465-10-6	indium (I) chloride	-75000	
13465-71-9	silane, trifluoro	-1200810	277.26
13465-72-0	silane, triiodo	-74470	375
13465-73-1	silane, monobromo	-78240	262.46
13465-78-6	silane, monochloro	-141840	250.75
13465-84-4	silane, tetraiodo	-110460	416.43
13470-08-1	titanium (III) fluoride	-1188670	291.41
13470-11-6	tungsten (V) bromide	-199160	461.36
13470-12-7	tungsten (II) chloride	-12550	309.36
13470-13-8	tungsten (IV) chloride	-335970	379.23
13470-14-9	tungsten (V) chloride	-412540	405.64
13475-78-0	5-ethyl-2-methylheptane	-258240	522.92
13475-79-1	2,4-dimethyl-3-isopropylpentane	-258030	487.7
13475-81-5	2,2,3,3-tetramethylhexane	-257860	486.46
13475-82-6	2,2,4,6,6-pentamethylheptane	-315580	542.73
13478-20-1	phosphorus oxyfluoride	-1254300	285.18
13478-41-6	copper (I) fluoride	-12550	226.48
13478-45-0	niobium (V) bromide	-443590	449.2
13494-80-9	tellurium	196700	182.52
13494-92-3	iodine dioxide	159320	281.47
13499-05-3	hafnium (IV) chloride	-884500	
13501-73-0	3,5-dimethyl-1-hexanol	-371240	499.46
13510-35-5	indium (III) iodide	-120500	
13517-10-7	boron triiodide	71130	348.78
13520-59-7	molybdenum (IV) bromide	-171130	418.99
13520-76-8	tungsten (VI) dioxydichloride	-671530	353.87
13520-78-0	tungsten (VI) oxytetrachloride	-573490	377.02
13520-79-1	tungsten (VI) oxytetrafluoride	-1336620	334.65
13537-33-2	silane, monofluoro	-376560	238.39
13540-50-6	2',5'-dimethyldiphenylmethane	101000	527.88
13540-56-2	3',4'-dimethyldiphenylmethane	97190	515.11
13550-49-7	deuteroammonia	-58580	203.93
13595-30-7	vanadium (IV) bromide	-336800	
13598-22-6	beryllium sulfide	263590	210.34
13598-42-0	silane, iodo	-2090	271.01
13632-93-4	1-methyl-2,3-diethylbenzene	-42000	461.25
13632-94-5	1-methyl-2,5-diethylbenzene	-44500	461.25
13632-95-6	1-methyl-2,6-diethyl benzene	-51200	476.68
13637-63-3	chlorine pentafluoride	-238490	310.74
13637-68-8	molybdenum (VI) dioxydichloride	-633040	337.89
13643-05-5	4-methyl-1,2-pentadiene	65230	358.64
13678-54-1	2-methyl-4-ethyl thiophene	30890	383.69
13701-67-2	diborane, tetrachloro	-489110	359.09
13701-86-5	tungsten (VI) bromide	-243090	482.65
13701-91-2	lead (IV) bromide	-456360	426.22
13706-19-9	molybdenum (VI) chloride	-439320	419.75
13709-35-8	difluorodisulfane	-336430	294.08
13709-47-2	scandium fluoride	-1247000	295.18
13709-49-4	yttrium fluoride	-1288700	312.03
13709-52-9	hafnium fluoride	-1669800	
13709-59-6	thorium (IV) fluoride	-1759000	339.99
13709-94-9	potassium metaborate	-674040	297.49
13714-85-7	4-methyl-trans-3-heptene	-105300	442.53
13718-50-8	barium iodide	-302920	348.66
13732-80-4	1-methyl-3,4-diethylbenzene	-54200	466.29
13760-02-6	silane, diiodo	-38070	326.79
13762-26-0	zirconium dichloride	-186190	292.69
13763-23-0	uranium (VI) chloride	-1013000	431
13764-18-6	1,4,6,7-tetramethylnaphthalene	51300	509.67
13765-26-9	gadolinium (III) fluoride	-1297000	
13768-94-0	silane, dibromo	-190370	310.04
13775-06-9	uranium (III) fluoride	-1058500	332.25
13776-62-0	trans-difluorodiazine	81170	262.66
13779-87-8	zirconium triiodide	-221750	397.91
13780-57-9	sulfur chloride pentafluoride	-1038890	319.93
13783-04-5	titanium (II) bromide	-179070	308.65
13783-07-8	titanium (II) iodide	-19660	323.63
13812-43-6	cis-difluorodiazine	68620	259.81
13814-25-0	sulfur (II) fluoride	-296650	257.7
13818-89-8	digermane	162300	
13819-84-6	molybdenum (V) fluoride	-1241390	347.75
13824-36-7	silane, difluoro	-790780	262.12
13840-33-0	lithium hypochlorite	-14230	256.45
13842-84-7	thorium (III) fluoride	-1166100	337.54
13863-41-7	bromine chloride	14640	240.01
13863-59-7	bromine fluoride	-58460	228.97
13873-84-2	iodine fluoride	-94760	236.3
13939-06-5	molybdenum hexacarbonyl	-912100	490.44
13952-84-6	sec-butylamine	-104650	357.04
13965-73-6	diborane, tetrafluoro	-1431760	318.61
13966-94-4	indium (I) iodide	7500	267.47
13986-26-0	zirconium iodide	-362330	446.69
13991-37-2	trans-2-pentenoic acid	-375300	411.68
14049-36-6	silane, chlorotrifluoro	-1317960	308.67
14055-74-4	molybdenum (II) iodide	257730	339.38
14055-75-5	molybdenum (III) iodide	182840	403.62
14055-76-6	molybdenum (IV) iodide	124680	452.9
14069-89-7	sec-butyl isocyanide	40000	437.67
14075-53-7	potassium fluoroborate	-1552260	315.47
14130-05-3	nonadecylamine	-401200	954.24
14130-06-4	docosylamine	-463620	1064.6
14130-07-5	tricosylamine	-484260	1103.5
14130-08-6	tetracosylamine	-504900	1142.5
14130-09-7	pentacosylamine	-525540	1181.4
14130-10-0	hexacosylamine	-546180	1220.4
14130-11-1	heptacosylamine	-566820	1259.3
14130-12-2	octacosylamine	-587460	1298.3
14130-15-5	heneicosylamine	-442980	1025.6
14167-59-0	tetratriacontane	-745090	1480.4
14188-79-5	2-decylnaphthalene	-80530	706.82
14189-13-0	2-ethyl-1,5-pentanediol	-492900	536.52
14250-79-4	2,2-dimethyl-1-heptanol	-390070	518.59
14255-23-3	2,4-dimethyl-2-hexene	-108100	441.32
14255-24-4	4-methyl-cis-3-heptene	-105300	442.53
14255-44-8	2-nitrohexane	-183210	460.48
14280-53-6	indium (I) bromide	-56900	259.35
14290-92-7	2,2-dimethyl-3-thiapentane	-144200	378.2
14310-20-4	4-methyl-1,2-diphenylethane	112300	533.49
14402-50-7	2-dodecanethiol	-261600	680.87
14411-75-7	1,3-dimethyl-2-isopropylbenzene	-45900	452.2
14476-30-3	1,2,2-tribromopropane	-35010	387.13
14531-16-9	5-methyl-5-ethylnonane	-297500	593.81
14558-12-4	1,3,5,8-tetramethylnaphthalene	51300	509.67
14596-92-0	1,cis-3-hexadiene	75480	378.53
14602-62-1	1,1,2-tribromopropane	-36820	406.95
14609-79-1	2,2,4,4-tetramethyl-3-pentanol	-404100	470.19
14610-37-8	methylisobutylamine	-93500	398.14
14676-29-0	3-ethyl-2-methylheptane	-253380	528.69
14686-13-6	trans-2-heptene	-73300	423.33
14686-14-7	trans-3-heptene	-73500	423.33
14691-44-2	trigermane	226800	
14720-74-2	2,2,4-trimethylheptane	-263840	505.98
14722-40-8	1,15-pentadecanediol	-657390	842.07
14739-73-2	2,2,3,5,5-pentamethylhexane	-293200	505.02
14752-75-1	heptadecylbenzene	-281520	945.49
14753-05-0	1-chloro-2-methylpentane	-188190	413.61
14779-92-1	8-methyl-2-nonanol	-412520	577.37
14808-60-7	silicon dioxide (α quartz)	-305430	228.97
14832-90-7	selenium monoxide	53400	234.23
14850-22-7	cis-3-octene	-89500	482.27
14850-23-8	trans-4-octene	-94500	459.13
14852-31-4	2-hexadecanol	-531080	857.77
14919-01-8	trans-3-octene	-94500	465.17
14920-89-9	2,3-dimethylfuran	-97900	336.61
14965-52-7	silane, trichlorofluoro	-840980	336.05
14977-61-8	chromium oxychloride	-538100	329.61
14979-39-6	4-methyl-3-heptanol	-371240	499.46
15013-37-3	4-methyl-2-thiahexane	-129000	446.89
15232-76-5	3-octyne	63850	439.37
15306-27-1	1-heptacosene	-475180	1203.1
15331-16-5	1,1,2-tribromo-2-methylpropane	-60930	416.55
15340-96-2	3,7-dimethyl-2-octanol	-417800	567.84
15501-33-4	1-iodo-2,2-dimethylpropane	-78410	367.51
15600-49-4	iron (III) iodide	71000	
15672-88-5	1-iodo-3,3-dimethylbutane	-100860	426.28
15673-00-4	1-amino-3,3-dimethylbutane	-149800	376.72
15679-01-3	1,cis-2-dimethylcyclobutane	-15500	382.16
15679-02-4	1,trans-2-dimethylcyclobutane	-15500	382.16
15831-18-2	vanadium tetraiodide	-122590	
15833-75-7	3,3-dimethyltetrahydrofuran	-223450	357.52
15840-60-5	2-methyl-cis-3-hexene	-77200	408.1
15869-80-4	3-ethylheptane	-231500	497.82
15869-85-9	5-methylnonane	-253970	536
15869-86-0	4-ethyloctane	-251080	541.74
15869-87-1	2,2-dimethyloctane	-267000	512.15
15869-89-3	2,5-dimethyloctane	-261120	528.72
15869-92-8	3,4-dimethyloctane	-253380	531.64
15869-93-9	3,5-dimethyloctane	-258240	531.64
15869-94-0	3,6-dimethyloctane	-258240	525.87
15869-95-1	4,4-dimethyloctane	-262210	522.25
15869-96-2	4,5-dimethyloctane	-253380	525.9
15870-10-7	2-methyl-1-heptene	-92810	458.86
15877-57-3	3-methylpentanal	-253500	414.04
15890-40-1	1,cis-2,trans-3-trimethylcyclopentane	-188650	332.48
15918-08-8	2-propyl-1-pentene	-92810	458.86
16020-17-0	1,2,4,7-tetramethylnaphthalene	51300	509.67
16021-20-8	1-ethyl-2-propylbenzene	-38000	475.01
16106-59-5	4,5-dimethyl-1-hexene	-93000	445.91
16130-73-7	diheptadecylamine	-691620	1521
16136-84-8	cis-1-chloro-1-propene	-3770	299.7
16136-85-9	trans-1-chloro-1-propene	-3770	299.7
16165-33-6	diundecylamine	-443940	1053.6
16325-63-6	2,4,4-trimethyl-1-pentanol	-374710	470.11
16325-64-7	3,4,4-trimethyl-1-pentanol	-374710	470.11
16331-21-8	1-bromooctacosane	-594920	1297.7
16416-41-4	trans-1-bromo-3-methyl-1-butene	-8260	385.7
16416-44-7	cis-1-bromo-3-methyl-1-butene	-8260	385.7
16432-53-4	1,4-hexanediol	-482700	462.55
16435-49-7	2-methyl-1-dodecene	-196010	653.62
16491-15-9	1,5-dimethylcyclopentene	-29100	361.41
16538-47-9	cis-1-iodo-1-hexene	26920	438.75
16631-63-3	1-methyl-1-propylcyclopentane	-153370	525.68
16644-66-9	1,1,1-tribromopentane	-76290	465.03
16644-98-7	trans-1-iodo-1-hexene	26920	438.75
16666-42-5	cis-2-pentenoic acid	-375300	411.68
16724-63-3	dihexadecylamine	-650340	1443.1
16727-91-6	1-isobutylnaphthalene	51300	509.67
16745-94-1	3,4-dimethyl-1-hexene	-93000	445.91
16746-02-4	2-isopropyl-1-pentene	-98090	449.33
16746-85-3	4-ethyl-1-hexene	-86900	458.19
16746-86-4	2,3-dimethyl-1-hexene	-98100	449.3
16746-87-5	2,4-dimethyl-1-hexene	-101600	437.56
16747-25-4	2,2,3-trimethylhexane	-241210	467.2
16747-26-5	2,2,4-trimethylhexane	-243200	467.97
16747-28-7	2,3,3-trimethylhexane	-239300	461.6
16747-30-1	2,4,4-trimethylhexane	-240000	468.64
16747-31-2	3,3,4-trimethylhexane	-235400	468.3
16747-32-3	2,2-dimethyl-3-ethylpentane	-231300	461.6
16747-33-4	2,3-dimethyl-3-ethylpentane	-233800	455.56
16747-38-9	2,3,3,4-tetramethylpentane	-236300	437.45
16747-42-5	2,2,4,5-tetramethylhexane	-266140	492.93
16747-44-7	2,2,3,3,4-pentamethylpentane	-247190	473.41
16747-45-8	2,2,3,4,4-pentamethylpentane	-247020	464.29
16747-50-5	1-methyl-1-ethylcyclopentane	-154900	401.87
16751-58-9	3-aminohexane	-141800	421.26
16789-46-1	3-ethyl-2-methylhexane	-234600	487.42
16789-51-8	3-ethyl-3-hexene	-104000	446.89
16812-54-7	nickel sulfide	357420	252.31
16813-18-6	2-heptadecanol	-551720	896.45
16883-48-0	1,trans-2,cis-4-trimethylcyclopentane	-188650	332.48
16891-99-9	1-nitrododecane	-301770	703.72
16900-07-5	butyl octyl sulfide	-249740	689.9
16900-08-6	butyl dodecyl sulfide	-332210	846.28
16921-96-3	iodine heptafluoride	-961070	347.74
16962-07-5	aluminum borohydride	13000	380.64
16967-04-7	butyl hexyl sulfide	-208530	611.82
16980-85-1	1-pentacosene	-433900	1125.2
17042-16-9	4-methyl-3-hexanone	-305670	445.84
17057-91-9	1,3,8-trimethylnaphthalene	57000	442.68
17057-92-0	1-methyl-5-ethylnaphthalene	69000	456.09
17057-94-2	2-methyl-4-ethylnaphthalene	63000	456.09
17059-44-8	1,2-dimethyl-3-propylbenzene	-46700	461.25
17059-45-9	1,3-dimethyl-2-propylbenzene	-44500	461.25
17059-53-9	1-methyl-6-ethylnaphthalene	69000	456.09
17059-55-1	2-methyl-7-ethylnaphthalene	60920	455.15
17085-91-5	1-tert-butylnaphthalene	51300	509.67
17085-96-0	3-ethyldecane	-293400	615.95
17179-41-8	1-methyl-3-ethylnaphthalene	69000	456.09
17194-00-2	barium hydroxide	-626560	315.55
17301-94-9	4-methylnonane	-253970	541.74
17302-01-1	3-ethyl-3-methylheptane	-256940	522.25
17302-02-2	3,3-diethylhexane	-252300	482.64
17302-04-4	4-ethyl-4-methylheptane	-256940	522.25
17302-11-3	3-ethylnonane	-272700	576.8
17302-12-4	5-ethylnonane	-272500	575.12
17302-13-5	4-propyloctane	-272300	573.78
17302-14-6	2,2-dimethylnonane	-287600	552.65
17302-15-7	3,3-dimethylnonane	-282200	560.03
17302-16-8	3-methyl-3-ethyloctane	-276900	557.01
17302-17-9	3,3-diethylheptane	-271900	542.59
17302-18-0	4,4-dimethylnonane	-282000	558.01
17302-19-1	4-methyl-4-ethyloctane	-276800	560.03
17302-20-4	4-methyl-4-propylheptane	-276600	543.26
17302-21-5	4,4-diethylheptane	-271700	543.93
17302-22-6	3,4-dimethylnonane	-274400	572.77
17302-23-7	4,5-dimethylnonane	-274200	571.43
17302-24-8	2,4-dimethylnonane	-280900	568.41
17302-25-9	3,5-dimethylnonane	-278600	573.44
17302-26-0	4,6-dimethylnonane	-278400	566.06
17302-27-1	2,5-dimethylnonane	-281500	569.08
17302-28-2	2,6-dimethylnonane	-281500	569.08
17302-29-3	2,7-dimethylnonane	-281700	570.42
17302-30-6	2,8-dimethylnonane	-284000	559.69
17302-31-7	3,6-dimethylnonane	-279200	574.11
17302-32-8	3,7-dimethylnonane	-279400	569.75
17302-33-9	6-methylundecane	-295300	615.95
17302-36-2	5-ethyldecane	-293200	620.31
17302-37-3	2,2-dimethyldecane	-308200	592.14
17302-38-4	3,3-dimethyldecane	-302800	599.52
17302-39-5	3-methyl-3-ethylnonane	-297600	596.16
17302-40-8	3,3-diethyloctane	-292600	581.74
17312-39-9	4,4-dimethyldecane	-302700	597.17
17312-40-2	4-methyl-4-ethylnonane	-297500	599.52
17312-41-3	4-methyl-4-propyloctane	-297300	591.47
17312-42-4	4,4-diethyloctane	-292400	588.78
17312-43-5	4-ethyl-4-propylheptane	-292300	586.44
17312-44-6	2,3-dimethyldecane	-298000	609.58
17312-45-7	3,4-dimethyldecane	-295100	612.26
17312-46-8	4,5-dimethyldecane	-294900	610.58
17312-48-0	3,5-dimethyldecane	-299200	612.93
17312-49-1	4,6-dimethyldecane	-299000	611.59
17312-50-4	2,5-dimethyldecane	-302200	608.24
17312-51-5	2,7-dimethyldecane	-302200	608.24
17312-52-6	2,8-dimethyldecane	-302400	609.91
17312-53-7	3,6-dimethyldecane	-299900	613.6
17312-54-8	3,7-dimethyldecane	-299900	613.6
17312-55-9	3,8-dimethyldecane	-300100	609.24
17312-56-0	4,7-dimethyldecane	-299700	606.22
17312-57-1	3-methyldodecane	-316930	652.86
17312-64-0	2,2-dimethylundecane	-320400	623.51
17312-77-5	2,3-dimethylundecane	-322210	643.33
17312-80-0	2,4-dimethylundecane	-322210	643.33
17348-59-3	isopropyl-tert-butyl-ether	-358150	419.05
17352-32-8	nonadecanal	-518700	932.36
17361-44-3	ditetradecylamine	-567780	1287.3
17373-27-2	dimethylnonylamine	-202840	600.56
17373-28-3	dimethylundecylamine	-244120	678.47
17373-29-4	dimethyltridecylamine	-285400	756.37
17453-92-8	5,5-dimethyldecane	-302700	597.17
17616-44-3	1,3-diiodo-2-methylpropane	22570	413.52
17678-60-3	dimethylpentadecylamine	-326680	834.27
17702-41-9	decaborane	47280	352.82
17760-40-6	1,1,1-trichlorohexane	-224800	479.05
17773-64-7	2-chloro-3-methyl-1-butene	-51910	365.9
17773-65-8	2-chloro-3-methyl-2-butene	-64630	369.29
17773-66-9	2,2-dichloro-3-methylbutane	-192040	369.21
17839-26-8	ethylpentylamine	-134340	469.34
17851-27-3	1,2,4-trimethyl-6-ethylbenzene	-59100	462.6
18094-01-4	2-methyl-1-tridecene	-216650	692.57
18231-53-3	3,3-dimethyl-2-ethyl-1-butene	-101560	419.99
18283-93-7	tetraborane	66100	
18295-25-5	2-bromo-3-methylbutane	-130760	382.76
18295-27-7	2-iodo-3-methylbutane	-80220	387.33
18300-91-9	pentadecanenitrile	-188050	746.39
18338-40-4	1,2,3-trichlorobutane	-183670	393.03
18371-13-6	2-methyl-2-ethyl-1-butanol	-348790	440.69
18371-24-9	1,3-diiodobutane	22570	413.52
18433-84-6	pentaborane	103300	
18435-20-6	2,3-dimethyltridecane	-363490	721.24
18435-22-8	3-methyltetradecane	-358210	730.76
18435-23-9	2,3-dimethyltetradecane	-384130	760.19
18435-53-5	1-triacontene	-537100	1320
18435-54-6	1-hentriacontene	-557740	1358.9
18435-55-7	1-dotriacontene	-578380	1397.9
18437-89-3	butyl hexadecyl sulfide	-414630	1002.7
18441-55-9	2,4-dimethyl-5-ethylphenol	-213450	453.24
18441-56-0	2-methyl-4-propylphenol	-201980	459.41
18479-57-7	2,6-dimethyt-2-octanol	-415990	548.02
18480-07-4	strontium hydroxide	-595800	301.35
18495-30-2	1,1,2,3-tetrachloropropane	-178770	387.5
18593-92-5	3-methyl-2-isopropyl-1-butanol	-376520	489.94
18610-33-8	4-chloro-trans-2-pentene	-50330	368.08
18636-94-7	dimethyl-3-pentylamine	-125560	435.23
18675-20-2	2,4-dimethyl-2-octanol	-415990	548.02
18720-62-2	2-methyl-3-heptanol	-371240	499.46
18720-65-5	5-methyl-3-heptanol	-371240	499.46
18720-66-6	6-methyl-3-heptanol	-371240	499.46
18787-63-8	2-hexadecanone	-486900	812.21
18835-32-0	1-tricosene	-392620	1047.3
18835-33-1	1-hexacosene	-454540	1164.2
18835-34-2	1-octacosene	-495820	1242.1
18835-35-3	1-nonacosene	-516460	1281
18868-43-4	molybdenum (IV) oxide	-8310	277.09
18932-14-4	2,2,4-trimethyloctane	-284900	545.6
18936-17-9	2-methylbutanenitrile	4600	360.39
18938-47-1	3-methyl-3,4-hexanediol	-521800	430.06
18970-44-0	1-ethyl-2-isopropylbenzene	-42400	462.26
19031-61-9	3-fluoro-3-methylpentane	-372030	382.54
19037-72-0	4,4-dimethylcyclopentene	-7100	394.61
19182-11-7	1,2-diethylnaphthalene	51300	509.67
19182-13-9	1,6-diethylnaphthalene	51300	509.67
19184-10-2	cis-1-fluoro-1-propene	-184140	297.97
19218-94-1	1-iodotetradecane	-255420	756.95
19264-94-9	3,3-dimethyl-1-pentanol	-348790	440.69
19287-45-7	diborane	41000	233.3
19313-57-6	butyl decyl sulfide	-291000	768.07
19313-61-2	ethyl decyl sulfide	-250370	688.62
19374-46-0	1,trans-2,cis-3-trimethylcyclopentane	-188650	332.48
19398-53-9	2,4-dibromopentane	-104430	433.81
19398-77-7	3,4-diethylhexane	-247570	517.18
19411-41-7	3,3,4-trimethyl-2-pentanol	-379990	460.59
19447-29-1	2-nonyne	43210	478.32
19484-26-5	1-tridecanethiol	-273800	729.42
19486-08-9	2,2-dimethylhexadecane	-423600	818.27
19489-10-2	1-methyl-cis-3-ethylcyclohexane	-207800	391.15
19549-70-3	2,2-dimethyl-3-heptanol	-395350	509.07
19549-71-4	2,3-dimethyl-3-heptanol	-395350	509.07
19549-73-6	2,6-dimethyl-3-heptanol	-397160	528.89
19549-74-7	3,5-dimethyl-3-heptanol	-395350	509.07
19549-77-0	2,4-dimethyl-4-heptanol	-395350	509.07
19549-78-1	3,3-dimethyl-4-heptanol	-395350	509.07
19549-79-2	3,5-dimethyl-4-heptanol	-397160	528.89
19550-03-9	2,3-dimethyl-2-hexanol	-374710	470.11
19550-05-1	3,4-dimethyl-2-hexanol	-376520	489.94
19550-07-3	2,5-dimethyl-3-hexanol	-376520	489.94
19550-08-4	3,4-dimethyl-3-hexanol	-374710	470.11
19550-09-5	4,4-dimethyl-3-hexanol	-374710	470.11
19550-30-2	2,3-dimethyl-1-butanol	-326600	432.83
19550-48-2	1,4-dimethylcyclopentene	-22700	365.1
19550-81-3	3,4-dimethyl-cis-2-hexene	-109700	435.95
19550-82-4	3,4-dimethyl-trans-2-hexene	-109700	435.95
19550-83-5	4,4-dimethyl-cis-2-hexene	-87200	465.03
19550-87-9	3,4-dimethyl-cis-3-hexene	-107200	464.83
19550-88-0	3,4-dimethyl-trans-3-hexene	-107200	464.83
19624-22-7	pentaborane	73220	275.74
19655-56-2	8-ethylquinoline	178550	375.69
19655-60-8	6-ethylquinoline	178550	375.69
19780-39-3	3-ethyl-2-heptanol	-391880	538.41
19780-41-7	3-ethyl-3-heptanol	-390070	518.59
19780-44-0	4-ethyl-3-hexanol	-371240	499.46
19780-63-3	2-methyl-3-ethyl-2-pentanol	-374710	470.11
19780-66-6	2-methyl-3-ethyl-1-pentene	-100700	440.58
19780-67-7	2-methyl-3-ethyl-2-pentene	-105500	470.53
19781-10-3	2,3-dimethyl-3-octanol	-415990	548.02
19781-11-4	2,7-dimethyl-4-octanol	-417800	567.84
19781-13-6	4,7-dimethyl-4-octanol	-415990	548.02
19781-24-9	3,3-dimethyl-2-pentanol	-354070	431.16
19781-27-2	6-ethyl-3-octanol	-412520	577.37
19781-63-6	4-ethyl-trans-2-hexene	-99800	440.48
19781-68-1	1-methyl-cis-2-ethylcyclopropane	-19500	377.47
19781-69-2	1-methyl-trans-2-ethylcyclopropane	-23500	364.05
19781-73-8	heptadecylcyclohexane	-463730	1021.4
19812-64-7	1,14-tetradecanediol	-636750	803.12
19841-72-6	2,2-dimethyl-3-octanol	-415990	548.02
19902-98-8	1,cis-3-dimethyl-trans-2-ethylcyclopentane	-209290	371.43
19902-99-9	1,trans-3-dimethyl-cis-2-ethylcyclopentane	-209290	371.43
19903-00-5	1,cis-3-dimethyl-cis-2-ethylcyclopentane	-209290	371.43
19907-40-5	1,trans-2,trans-3,cis-4-tetramethylcyclopentane	-229630	329.07
19961-27-4	ethylisopropylamine	-105300	358.56
20024-90-2	1-ethyl-4-propylbenzene	-43100	473.33
20024-91-3	1-ethyl-3-propylbenzene	-43300	479.7
20038-12-4	4-bromo-2-methyl-1-butene	-4560	393.05
20150-89-4	5,7-dimethylquinoline	167080	369.52
20184-89-8	3-nonyne	43210	478.32
20193-20-8	1-ethylpropylamine	-112700	390.66
20193-58-2	molybdenum (III) fluoride	-607100	296.07
20237-34-7	1,trans-3-hexadiene	75480	378.53
20278-84-6	2,4,5-trimethylheptane	-260540	518.59
20278-85-7	2,3,5-trimethylheptane	-260540	518.59
20278-87-9	3,3,4-trimethylheptane	-256560	515.1
20278-88-0	3,4,4-trimethylheptane	-256560	515.1
20278-89-1	3,4,5-trimethylheptane	-252840	518.59
20281-00-9	cesium oxide	-92050	318.25
20291-60-5	methyl hexyl sulfide	-142400	490.47
20291-61-6	methyl heptyl sulfide	-163000	529.63
20291-91-2	3-ethyl-2,2-dimethylhexane	-258950	505.95
20291-95-6	2,2,5-trimethylheptane	-271750	505.95
20294-76-2	1,2-octadecanediol	-724590	949.4
20309-77-7	1,1,cis-3,cis-4-tetramethylcyclopentane	-194050	440.96
20327-65-5	trans-1-fluoro-1-propene	-184140	297.97
20352-67-4	ethylhexylamine	-154980	508.29
20395-24-8	1,1-dichlorooctane	-253900	543.35
20395-25-9	1,1,3-trichloropropane	-157750	363.6
20487-40-5	tert-butyl propanoate	-521700	479.9
20488-34-0	2-methyl-cis-3-heptene	-98200	445.85
20548-54-3	calcium sulfide	123600	232.59
20592-10-3	2-ethyl-1-octanol	-407240	586.89
20619-16-3	germanium (II) oxide	-46200	224.22
20654-44-8	2,3-dimethylbutanenitrile	-19800	386.47
20654-46-0	2,2-dimethylbutanenitrile	-26200	379.76
20667-05-4	2-methyl-1,2-pentanediol	-495200	402.92
20668-26-2	3,6-dimethylquinoline	167080	369.52
20668-28-4	3,7-dimethylquinoline	167080	369.52
20668-29-5	3,8-dimethylquinoline	167080	369.52
20668-30-8	5,6-dimethylquinoline	167080	369.52
20668-33-1	6,7-dimethylquinoline	167080	369.52
20669-04-9	3,3-dimethyl-2-pentanone	-309140	416.5
20687-01-8	1-iodo-2-methyl-1-propene	58410	356.69
20710-38-7	3-methyl-trans-2-hexene	-84500	404.11
20748-86-1	2,4-heptanediol	-517800	461.19
20816-12-0	osmium tetroxide	-337200	294.39
20843-07-6	3,4-dimethylfuran	-97900	336.61
20901-21-7	disulfur oxide	-56480	267.02
21020-26-8	3-ethyl-1-pentyne	96800	397.96
21020-27-9	4-methyl-2-pentyne	97500	361.16
21035-44-9	ethyl-sec-butylamine	-124000	404.02
21078-72-8	3-methyl-3-nonanol	-410710	557.54
21101-88-2	3-methylpentanenitrile	-14300	398.88
21102-09-0	4,4-dimethyl-3-ethyl-2-pentanol	-400630	499.54
21102-13-6	2,3,4-trimethyl-2-hexanol	-400630	499.54
21109-95-5	barium sulfide	37780	249.39
21129-09-9	1,2-tetradecanediol	-642030	793.59
21255-83-4	bromine dioxide	151960	271.12
21308-80-5	bromine oxide	107650	290.83
21351-79-1	cesium hydroxide	-259410	254.86
21508-07-6	2,3-heptanediol	-515800	467.9
21531-91-9	1,3-hexanediol	-482700	462.55
21542-96-1	dimethyldocosylamine	-471160	1106.9
21570-35-4	2-methyl-4-heptanol	-371240	499.46
21571-91-5	3,3-dichloropentane	-186760	378.73
21651-19-4	tin (II) oxide	15100	232.58
21895-13-6	2',3"-dimethyldiphenylmethane	101000	527.88
21895-16-9	3',4"-dimethyldiphenylmethane	97190	515.11
21895-17-0	2',4"-dimethyldiphenylmethane	101000	527.88
21908-53-2	mercury (II) oxide	41840	239.04
21968-17-2	propylisopropylamine	-126000	397.31
22025-20-3	3,3-dimethyl-2-hexanol	-374710	470.11
22037-73-6	3-bromo-1-butene	20590	348.73
22331-38-0	eicosylcyclopentane	-498850	1079.4
22349-03-7	nonadecylcyclohexane	-505010	1099.3
22417-45-4	4-methyl-2-isobutyl-1-pentanol	-468330	565.86
22438-39-7	methyl decyl sulfide	-224900	647.42
22539-65-7	1,2-dimethyl-3-isopropylbenzene	-49600	455.89
22663-64-5	3-methyl-1-nonanol	-407240	586.89
22768-17-8	3-methyl-cis-3-heptene	-105300	442.53
22768-18-9	3-methyl-trans-3-heptene	-105300	442.53
22768-19-0	3-methyl-cis-2-heptene	-105300	442.53
22768-20-3	3-methyl-trans-2-heptene	-105300	442.53
23009-73-6	1-chloro-2-methyl-trans-2-butene	-54840	373.45
23009-74-7	1-chloro-2-methyl-cis-2-butene	-54840	373.45
23010-04-0	1,2-dichloro-2-methylbutane	-186760	378.73
23010-05-1	1,1-dichloro-2-methylbutane	-188570	398.56
23010-07-3	1,3-dichloro-2-methylbutane	-188570	398.56
23068-94-2	3-bromo-cis-2-pentene	-12770	391.07
23068-95-3	4-bromo-trans-2-pentene	-8260	385.7
23074-36-4	2-bromo-1-butene	16080	354.1
23079-20-1	1,16-hexadecanediol	-678030	881.02
23171-85-9	2,3,3-trimethyl-2-pentanol	-378180	440.77
23361-67-3	2,2-dimethylpropyl formate	-465000	417.94
23361-69-5	2,2-dimethylpropyl butanoate	-562700	531.71
23412-45-5	molybdenum (IV) fluoride	-947680	329.04
23418-37-3	4-methyl-4-octanol	-390070	518.59
23418-38-4	4-methyl-4-nonanol	-410710	557.54
23425-81-2	1-fluoro-3-methyl-2-butene	-235210	371.72
23433-04-7	1,3-heptanediol	-503500	500.97
23433-05-8	1,3-octanediol	-518190	559.88
23511-78-6	1,1,3-tribromopropane	-31540	416.47
