CAS	Chemical	molecular_diameter	Stockmayer
2176-98-9	Tetrapropyltin	7.16031	588.15
2189-60-8	1-Phenyloctane	7.12309	564.25
2367-82-0	1,2,3,5-Tetrafluorobenzene	5.52349	429.95
2465-32-9	Diolein	10.44146	793.35
2550-26-7	Benzylacetone	6.27139	559.22
2551-62-4	Sulfur hexafluoride	4.76629	271.68
2566-90-7	DHA methyl ester	8.68778	773.49
2734-47-6	EPA methyl ester	8.46741	689.29
2752-99-0	Trierucin	11.44706	1199.14
2835-81-6	α-Amino-n-butyric acid	5.59802	556.75
3107-04-8	Alloisoleucine	6.15161	590.48
3350-30-9	Cyclononanone	6.20229	543.42
3458-28-4	Mannose	5.56327	820.08
5392-40-5	Citral	6.75868	536.15
5908-87-2	Behenic acid ethyl ester	9.03867	762.34
5989-27-5	D-Limonene	6.33828	510.84
6032-29-7	2-Pentanol	5.4042	427.25
6217-54-5	Docosahexaenoic acid (DHA)	8.67455	832.4
6485-40-1	L -Carvone	6.55942	549.08
7235-40-7	β-Carotene	10.08103	1122.89
7439-90-9	Krypton	2.8987	511.92
7440-01-9	Neon	2.66839	34.37
7440-37-1	Argon	3.40744	123.55
7440-63-3	Xenon	3.85754	224.23
7446-09-5	Sulfur dioxide	3.98053	333.4
7585-39-9	β-Cyclodextrin	10.34289	2159.46
7664-41-7	Ammonia	4.24397	4.46
7732-18-5	Water	3.24681	501.01
7782-44-7	Oxygen	3.29728	119.66
7783-06-4	Hydrogen sulfide	3.64669	288.86
7789-20-0	Deuterium oxide	3.26304	498.37
10016-20-3	α-Cyclodextrin	9.83007	1997.14
10024-97-2	Nitrous oxide	3.67545	239.63
10043-92-2	Radon	4.10118	292.11
10323-20-3	Arabinose	5.30127	790.58
10417-94-4	Eicosapentaenoic acid (EPA)	8.48687	790.18
14024-61-4	Palladium(II) acetylacetonate	6.1317	503.96
14073-97-3	L -Menthone	6.6065	541.37
14174-09-5	Dibenzo-24-crown-8	8.69916	1081.1
14324-82-4	Copper(II) trifluoroacetylacetonate	6.00245	319.55
16069-36-6	Dicyclohexano-18-crown-6	8.41774	911.36
16326-32-2	γ-Linolenic acid methyl ester	8.32085	683.28
