CAS	Chemical	A	B	C	D	E	Tmin	Tmax
110-00-9	Furan	114370	-215.69	0.72691	0	0	187.55	304.5
7440-59-7	Helium-4	387220	-465570	211800	-42494	3212.9	2.2	4.6
629-78-7	Heptadecane	376970	347.82	0.57895	0	0	295.13	575.3
111-71-7	Heptanal	222360	-105.17	0.65074	0	0	229.8	381.25
111-14-8	Heptanoic acid	194570	-23.206	0.88395	0	0	265.83	496.15
111-70-6	1-Heptanol	2416800	-26105	110.03	-0.19172	0.00011968	239.15	448.6
543-49-7	2-Heptanol	283127	-1037.63	3.44064	0	0	230	432.9
106-35-4	3-Heptanone	270730	-399.89	1.0601	0	0	234.15	480
110-43-0	2-Heptanone	265040	-375.68	1.0024	0	0	238.15	490
592-76-7	1-Heptene	267950	-1315.9	6.5242	-0.011994	0.0000093808	154.12	366.79
1639-09-4	Heptyl mercaptan	236870	-158.01	0.78982	0	0	229.92	460
628-71-7	1-Heptyne	46798	761.13	-0.62882	0	0	200	372.93
544-76-3	Hexadecane	370350	231.47	0.68632	0	0	291.31	560.01
66-25-1	Hexanal	117700	329.52	0	0	0	217.15	401.45
110-54-3	Hexane	172120	-183.78	0.88734	0	0	177.83	460
142-62-1	Hexanoic acid	161980	44.116	0.709	0	0	269.25	478.85
111-27-3	1-Hexanol	1638600	-17261	71.721	-0.12026	0.000071087	228.55	460
626-93-7	2-Hexanol	267628	-1033.06	3.35185	0	0	223	585.3
591-78-6	2-Hexanone	208250	-107.47	0.2062	0.00070293	0	217.35	460
589-38-8	3-Hexanone	235960	-345.94	0.94278	0	0	217.5	460
592-41-6	1-Hexene	164640	-200.37	0.8784	0	0	133.39	336.63
928-49-4	3-Hexyne	82795	283.4	0	0	0	300	354.35
111-31-9	Hexyl mercaptan	303320	-1009	3.3885	-0.002762	0	192.62	430
693-02-7	1-Hexyne	93000	326	0	0	0	200	344.48
764-35-2	2-Hexyne	94860	254.15	0	0	0	300	357.67
302-01-2	Hydrazine	79815	50.929	0.043379	0	0	274.69	653.15
10035-10-6	Hydrogen bromide	57720	9.9	0	0	0	185.15	206.45
7647-01-0	Hydrogen chloride	47300	90	0	0	0	165	185
74-90-8	Hydrogen cyanide	95398	-197.52	0.3883	0	0	259.83	298.85
7664-39-3	Hydrogen fluoride	62520	-223.02	0.6297	0	0	189.79	292.67
