Compound Number	Compound Name	Compound Formula	CAS Number	Molecular Wt	A	B	C	D	E	Tmin	Cp at Tmin 	Tmax	Cp at Tmax 	
50	Carbon tetrachloride	CCl4	56-23-5	153.823	-752700.00000000	8966.1000000	-30.39400000	0.03445500	0.0000000	250.33	1.28E-05	388.71	1.64E-05	
51	Carbon tetrafluoride	CF4	75-73-0	88.004	104600.00000000	-500.6000000	2.28510000	0.00000000	0.0000000	89.56	7.81E-06	145.10	8.01E-06	
52	Chlorine	Cl2	7782-50-5	70.906	63936.00000000	46.3500000	-0.16230000	0.00000000	0.0000000	172.12	6.71E-06	239.12	6.57E-06	
53	Chlorobenzene	C6H5Cl	108-90-7	112.557	-1307500.00000000	15338.0000000	-53.97400000	0.06348300	0.0000000	227.95	1.36E-05	360.00	1.81E-05	
54	Chloroethane	C2H5Cl	75-00-3	64.514	127900.00000000	-345.1500000	0.91500000	0.00000000	0.0000000	134.80	9.80E-06	340.00	1.16E-05	
55	Chloroform	CHCl3	67-66-3	119.378	124850.00000000	-166.3400000	0.43209000	0.00000000	0.0000000	233.15	1.10E-05	366.48	1.22E-05	
56	Chloromethane	CH3Cl	74-87-3	50.488	96910.00000000	-207.9000000	0.37456000	0.00048800	0.0000000	175.43	7.46E-06	373.15	9.68E-06	
57	1-Chloropropane	C3H7Cl	540-54-5	78.541	132280.00000000	-153.2700000	0.50836000	0.00000000	0.0000000	150.35	1.21E-05	319.67	1.35E-05	
58	2-Chloropropane	C3H7Cl	75-29-6	78.541	69362.00000000	215.0100000	0.00000000	0.00000000	0.0000000	200.00	1.12E-05	308.85	1.36E-05	
59	m-Cresol	C7H8O	108-39-4	108.138	-246700.00000000	3256.8000000	-7.42020000	0.00604670	0.0000000	285.39	2.19E-05	400.00	2.56E-05	
60	o-Cresol	C7H8O	95-48-7	108.138	-185150.00000000	3148.0000000	-8.03670000	0.00725400	0.0000000	304.20	2.33E-05	400.00	2.52E-05	
61	p-Cresol	C7H8O	106-44-5	108.138	259980.00000000	-1112.3000000	4.94270000	-0.00543670	0.0000000	307.93	2.27E-05	400.00	2.58E-05	
62	Cumene	C9H12	98-82-8	120.192	61723.00000000	494.8100000	0.00000000	0.00000000	0.0000000	177.14	1.49E-05	425.56	2.72E-05	
63	Cyanogen	C2N2	460-19-5	52.035	65516.00000000	144.7000000	0.06322900	0.00000000	0.0000000	200.08	9.70E-06	300.08	1.15E-05	
64	Cyclobutane	C4H8	287-23-0	56.106	101920.00000000	-215.8100000	0.81030000	0.00000000	0.0000000	190.00	9.02E-06	298.15	1.10E-05	
65	Cyclohexane	C6H12	110-82-7	84.159	-220600.00000000	3118.3000000	-9.42160000	0.01068700	0.0000000	279.69	1.48E-05	400.00	2.03E-05	
66	Cyclohexanol	C6H12O	108-93-0	100.159	-40000.00000000	853.0000000	0.00000000	0.00000000	0.0000000	296.60	2.13E-05	434.00	3.30E-05	
67	Cyclohexanone	C6H10O	108-94-1	98.143	6110.40000000	600.9400000	0.00000000	0.00000000	0.0000000	290.00	1.80E-05	489.75	3.00E-05	
