Compound Number	Compound Name	Compound Formula	CAS Number	Molecular Wt	A	B	C	D	E	Tmin	Cp at Tmin 	Tmax	Cp at Tmax 	
172	Hexanoic acid	C6H12O2	142-62-1	116.158	161980.00000000	44.1160000	0.70900000	0.00000000	0.0000000	269.25	2.25E-05	478.85	3.46E-05	
173	1-Hexanol	C6H14O	111-27-3	102.175	1638600.00000000	-17261.0000000	71.72100000	-0.12026000	0.0000711	228.55	1.98E-05	460.00	3.52E-05	
174	2-Hexanol	C6H14O	626-93-7	102.175	267628.00000000	-1033.0600000	3.35185000	0.00000000	0.0000000	223.00	2.04E-05	585.30	8.11E-05	
175	2-Hexanone	C6H12O	591-78-6	100.159	208250.00000000	-107.4700000	0.20620000	0.00070293	0.0000000	217.35	2.02E-05	460.00	2.71E-05	
176	3-Hexanone	C6H12O	589-38-8	100.159	235960.00000000	-345.9400000	0.94278000	0.00000000	0.0000000	217.50	2.05E-05	460.00	2.76E-05	
177	1-Hexene	C6H12	592-41-6	84.159	164640.00000000	-200.3700000	0.87840000	0.00000000	0.0000000	133.39	1.54E-05	336.63	1.97E-05	
178	3-Hexyne	C6H10	928-49-4	82.144	82795.00000000	283.4000000	0.00000000	0.00000000	0.0000000	300.00	1.68E-05	354.35	1.83E-05	
179	Hexyl mercaptan	C6H14S	111-31-9	118.24	303320.00000000	-1009.0000000	3.38850000	-0.00276200	0.0000000	192.62	2.15E-05	430.00	2.76E-05	
180	1-Hexyne	C6H10	693-02-7	82.144	93000.00000000	326.0000000	0.00000000	0.00000000	0.0000000	200.00	1.58E-05	344.48	2.05E-05	
181	2-Hexyne	C6H10	764-35-2	82.144	94860.00000000	254.1500000	0.00000000	0.00000000	0.0000000	300.00	1.71E-05	357.67	1.86E-05	
182	Hydrazine	H4N2	302-01-2	32.045	79815.00000000	50.9290000	0.04337900	0.00000000	0.0000000	274.69	9.71E-06	653.15	1.32E-05	
184	Hydrogen bromide	HBr	10035-10-6	80.912	57720.00000000	9.9000000	0.00000000	0.00000000	0.0000000	185.15	5.96E-06	206.45	5.98E-06	
185	Hydrogen chloride	HCl	7647-01-0	36.461	47300.00000000	90.0000000	0.00000000	0.00000000	0.0000000	165.00	6.22E-06	185.00	6.40E-06	
186	Hydrogen cyanide	CHN	74-90-8	27.025	95398.00000000	-197.5200000	0.38830000	0.00000000	0.0000000	259.83	7.03E-06	298.85	7.11E-06	
187	Hydrogen fluoride	HF	7664-39-3	20.006	62520.00000000	-223.0200000	0.62970000	0.00000000	0.0000000	189.79	4.29E-06	292.67	5.12E-06	
189	Isobutyric acid	C4H8O2	79-31-2	88.105	127540.00000000	-65.3500000	0.82867000	0.00000000	0.0000000	270.00	1.70E-05	427.65	2.51E-05	
190	Isopropyl amine	C3H9N	75-31-0	59.11	-32469.00000000	1977.1000000	-7.01450000	0.00869130	0.0000000	177.95	1.46E-05	320.00	1.67E-05	
191	Malonic acid	C3H4O4	141-82-2	104.061	157850.00000000	-41.6190000	0.42817000	0.00000000	0.0000000	407.95	2.12E-05	603.75	2.89E-05	
192	Methacrylic acid	C4H6O2	79-41-4	86.089	146290.00000000	-58.5900000	0.35820000	0.00000000	0.0000000	288.15	1.59E-05	434.15	1.88E-05	
194	Methanol	CH4O	67-56-1	32.042	105800.00000000	-362.2300000	0.93790000	0.00000000	0.0000000	175.47	7.11E-06	400.00	1.11E-05	
195	N-Methyl acetamide	C3H7NO	79-16-3	73.094	62600.00000000	243.4000000	0.00000000	0.00000000	0.0000000	359.00	1.50E-05	538.50	1.94E-05	
196	Methyl acetate	C3H6O2	79-20-9	74.079	61260.00000000	270.9000000	0.00000000	0.00000000	0.0000000	253.40	1.30E-05	373.40	1.62E-05	
197	Methyl acetylene	C3H4	74-99-7	40.064	79791.00000000	89.4900000	0.00000000	0.00000000	0.0000000	200.00	9.77E-06	249.94	1.02E-05	
198	Methyl acrylate	C4H6O2	96-33-3	86.089	275500.00000000	-1147.0000000	2.56800000	0.00000000	0.0000000	196.32	1.49E-05	353.35	1.91E-05	
199	Methyl amine	CH5N	74-89-5	31.057	92520.00000000	37.4500000	0.00000000	0.00000000	0.0000000	179.69	9.93E-06	266.82	1.03E-05	
200	Methyl benzoate	C8H8O2	93-58-3	136.148	125630.00000000	279.7500000	0.00000000	0.00000000	0.0000000	260.75	1.99E-05	472.65	2.58E-05	
201	3-Methyl-1,2-butadiene	C5H8	598-25-4	68.117	135370.00000000	-133.3400000	0.63868000	0.00000000	0.0000000	159.53	1.30E-05	314.56	1.57E-05	
202	2-Methylbutane	C5H12	78-78-4	72.149	108300.00000000	146.0000000	-0.29200000	0.00151000	0.0000000	113.25	1.23E-05	310.00	1.70E-05	
203	2-Methylbutanoic acid	C5H10O2	116-53-0	102.132	74200.00000000	417.4000000	0.00000000	0.00000000	0.0000000	321.50	2.08E-05	481.50	2.75E-05	
204	3-Methyl-1-butanol	C5H12O	123-51-3	88.148	247870.00000000	-1145.0000000	3.42230000	0.00000000	0.0000000	155.95	1.53E-05	404.15	3.44E-05	
205	2-Methyl-1-butene	C5H10	563-46-2	70.133	149510.00000000	-247.6300000	0.91849000	0.00000000	0.0000000	135.58	1.33E-05	304.31	1.59E-05	
206	2-Methyl-2-butene	C5H10	513-35-9	70.133	151600.00000000	-266.7200000	0.90847000	0.00000000	0.0000000	139.39	1.32E-05	311.71	1.57E-05	
207	2-Methyl-1-butene-3-yne	C5H6	78-80-8	66.101	81919.00000000	181.0100000	0.00000000	0.00000000	0.0000000	298.15	1.36E-05	305.40	1.37E-05	
208	Methylbutyl ether	C5H12O	628-28-4	88.148	177850.00000000	-171.5700000	0.74379000	0.00000000	0.0000000	157.48	1.69E-05	343.31	2.07E-05	
209	Methylbutyl sulfide	C5H12S	628-29-5	104.214	198390.00000000	-220.3500000	0.76096000	0.00000000	0.0000000	175.30	1.83E-05	510.00	2.84E-05	
210	3-Methyl-1-butyne	C5H8	598-23-2	68.117	105200.00000000	191.1000000	0.00000000	0.00000000	0.0000000	200.00	1.43E-05	299.49	1.62E-05	
211	Methyl butyrate	C5H10O2	623-42-7	102.132	102930.00000000	129.1000000	0.62516000	0.00000000	0.0000000	277.25	1.87E-05	415.87	2.65E-05	
212	Methylchlorosilane	CH5ClSi	993-00-0	80.589	47726.00000000	338.4000000	0.00000000	0.00000000	0.0000000	250.00	1.32E-05	325.00	1.58E-05	
213	Methylcyclohexane	C7H14	108-87-2	98.186	131340.00000000	-63.1000000	0.81250000	0.00000000	0.0000000	146.58	1.40E-05	320.00	1.94E-05	
214	1-Methylcyclohexanol	C7H14O	590-67-0	114.185	50578.00000000	508.5900000	0.00000000	0.00000000	0.0000000	300.00	2.03E-05	441.15	2.75E-05	
215	cis-2-Methylcyclohexanol	C7H14O	7443-70-1	114.185	118600.00000000	447.0700000	0.00000000	0.00000000	0.0000000	300.00	2.53E-05	438.15	3.14E-05	
216	trans-2-Methylcyclohexanol	C7H14O	7443-52-9	114.185	118170.00000000	447.9900000	0.00000000	0.00000000	0.0000000	300.00	2.53E-05	440.15	3.15E-05	
217	Methylcyclopentane	C6H12	96-37-7	84.159	155920.00000000	-490.0000000	2.13830000	-0.00155850	0.0000000	130.73	1.25E-05	366.48	1.87E-05	
218	1-Methylcyclopentene	C6H10	693-89-0	82.144	53271.00000000	327.9200000	0.00000000	0.00000000	0.0000000	200.00	1.19E-05	348.64	1.68E-05	
219	3-Methylcyclopentene	C6H10	1120-62-3	82.144	46457.00000000	346.9300000	0.00000000	0.00000000	0.0000000	200.00	1.16E-05	338.05	1.64E-05	
220	Methyldichlorosilane	CH4Cl2Si	75-54-7	115.034	27030.00000000	413.0000000	0.00000000	0.00000000	0.0000000	250.00	1.30E-05	350.00	1.72E-05	
221	Methylethyl ether	C3H8O	540-67-0	60.095	85383.00000000	199.0800000	-0.06154700	0.00000000	0.0000000	160.00	1.16E-05	280.50	1.36E-05	
222	Methylethyl ketone	C4H8O	78-93-3	72.106	132300.00000000	200.8700000	-0.95970000	0.00195330	0.0000000	186.48	1.49E-05	373.15	1.75E-05	
223	Methylethyl sulfide	C3H8S	624-89-5	76.161	161240.00000000	-288.6100000	0.78179000	0.00000000	0.0000000	167.23	1.35E-05	339.80	1.53E-05	
224	Methyl formate	C2H4O2	107-31-3	60.052	130200.00000000	-396.0000000	1.21000000	0.00000000	0.0000000	174.15	9.79E-06	304.90	1.22E-05	
225	Methylisobutyl ether	C5H12O	625-44-5	88.148	92919.00000000	324.4300000	0.00000000	0.00000000	0.0000000	298.15	1.90E-05	350.00	2.06E-05	
226	Methylisobutyl ketone	C6H12O	108-10-1	100.159	183650.00000000	-79.8620000	0.60769000	0.00000000	0.0000000	189.15	1.90E-05	389.15	2.45E-05	
227	Methyl Isocyanate	C2H3NO	624-83-9	57.051	149770.00000000	-529.8200000	1.34990000	0.00000000	0.0000000	256.15	1.03E-05	366.00	1.37E-05	
228	Methylisopropyl ether	C4H10O	598-53-8	74.122	143440.00000000	-154.0700000	0.72550000	0.00000000	0.0000000	127.93	1.36E-05	310.00	1.65E-05	
229	Methylisopropyl ketone	C5H10O	563-80-4	86.132	191170.00000000	-331.0400000	0.98445000	0.00000000	0.0000000	180.15	1.63E-05	440.00	2.36E-05	
230	Methylisopropyl sulfide	C4H10S	1551-21-9	90.187	211170.00000000	-661.9700000	2.42160000	-0.00213830	0.0000000	171.64	1.58E-05	357.91	1.86E-05	
231	Methyl mercaptan	CH4S	74-93-1	48.107	115300.00000000	-263.2300000	0.60412000	0.00000000	0.0000000	150.18	8.94E-06	298.15	9.05E-06	
232	Methyl methacrylate	C5H8O2	80-62-6	100.116	255100.00000000	-938.4000000	2.41300000	0.00000000	0.0000000	224.95	1.66E-05	373.45	2.41E-05	
233	2-Methyloctanoic acid	C9H18O2	3004-93-1	158.238	226650.00000000	15.4210000	1.05780000	0.00000000	0.0000000	240.00	2.91E-05	518.15	5.19E-05	
234	2-Methylpentane	C6H14	107-83-5	86.175	142220.00000000	-47.8300000	0.73900000	0.00000000	0.0000000	119.55	1.47E-05	333.41	2.08E-05	
235	Methyl pentyl ether	C6H14O	628-80-8	102.175	251890.00000000	-468.3200000	1.22090000	0.00000000	0.0000000	176.00	2.07E-05	372.00	2.47E-05	
236	2-Methylpropane	C4H10	75-28-5	58.122	172370.00000000	-1783.9000000	14.75900000	-0.04790900	0.0000581	113.54	9.96E-06	380.00	2.07E-05	
237	2-Methyl-2-propanol	C4H10O	75-65-0	74.122	-925460.00000000	7894.9000000	-17.66100000	0.01361700	0.0000000	298.96	2.20E-05	460.00	2.95E-05	
238	2-Methyl propene	C4H8	115-11-7	56.106	87680.00000000	217.1000000	-0.91530000	0.00226600	0.0000000	132.81	1.06E-05	343.15	1.46E-05	
239	Methyl propionate	C4H8O2	554-12-1	88.105	71140.00000000	335.5000000	0.00000000	0.00000000	0.0000000	300.00	1.72E-05	390.00	2.02E-05	
240	Methylpropyl ether	C4H10O	557-17-5	74.122	144110.00000000	-102.0900000	0.58113000	0.00000000	0.0000000	133.97	1.41E-05	312.20	1.69E-05	
241	Methylpropyl sulfide	C4H10S	3877-15-4	90.187	179850.00000000	-264.1000000	0.79202000	0.00000000	0.0000000	160.17	1.58E-05	368.69	1.90E-05	
242	Methylsilane	CH6Si	992-94-9	46.144	113470.00000000	0.0000000	0.00000000	0.00000000	0.0000000	298.15	1.13E-05	298.15	1.13E-05	
243	alpha-Methyl styrene	C9H10	98-83-9	118.176	76822.00000000	421.6000000	0.00000000	0.00000000	0.0000000	249.95	1.82E-05	438.65	2.62E-05	
244	Methyl tert-butyl ether	C5H12O	1634-04-4	88.148	134300.00000000	94.3560000	-0.00320000	0.00097950	0.0000000	164.55	1.54E-05	328.18	2.00E-05	
245	Methyl vinyl ether	C3H6O	107-25-5	58.079	73600.00000000	184.7000000	0.00000000	0.00000000	0.0000000	151.15	1.02E-05	278.65	1.25E-05	
246	Naphthalene	C10H8	91-20-3	128.171	29800.00000000	527.5000000	0.00000000	0.00000000	0.0000000	353.43	2.16E-05	491.14	2.89E-05	
247	Neon	Ne	None	20.18	1034100.00000000	-138770.0000000	7154.00000000	-162.55000000	1.3841000	24.56	3.67E-06	40.00	6.98E-06	
248	Nitroethane	C2H5NO2	79-24-3	75.067	187740.00000000	-497.6000000	1.06910000	0.00000000	0.0000000	183.63	1.32E-05	387.22	1.55E-05	
249	Nitrogen	N2	7727-37-9	28.013	281970.00000000	-12281.0000000	248.00000000	-2.21820000	0.0074902	63.15	5.59E-06	112.00	7.96E-06	
250	Nitrogen trifluoride	F3N	7783-54-2	71.002	101400.00000000	-682.1100000	3.89120000	0.00000000	0.0000000	117.00	7.49E-06	175.50	1.02E-05	
251	Nitromethane	CH3NO2	75-52-5	61.04	116270.00000000	-135.3000000	0.34500000	0.00000000	0.0000000	244.60	1.04E-05	473.15	1.29E-05	
252	Nitrous oxide	N2O	10024-97-2	44.013	67556.00000000	54.3730000	0.00000000	0.00000000	0.0000000	182.30	7.75E-06	200.00	7.84E-06	
253	Nitric oxide	NO	10102-43-9	30.006	-2979600.00000000	76602.0000000	-652.59000000	1.88790000	0.0000000	109.50	6.23E-06	150.00	1.99E-05	
254	Nonadecane	C19H40	629-92-5	268.521	342570.00000000	762.0800000	0.20481000	0.00000000	0.0000000	305.04	5.94E-05	603.05	8.77E-05	
255	Nonanal	C9H18O	124-19-6	142.239	136820.00000000	531.2900000	0.00000000	0.00000000	0.0000000	255.15	2.72E-05	468.15	3.86E-05	
256	Nonane	C9H20	111-84-2	128.255	383080.00000000	-1139.8000000	2.71010000	0.00000000	0.0000000	219.66	2.63E-05	325.00	2.99E-05	
257	Nonanoic acid	C9H18O2	112-05-0	158.238	224336.00000000	49.7260000	0.98130000	0.00000000	0.0000000	285.55	3.19E-05	528.75	5.25E-05	
258	1-Nonanol	C9H20O	143-08-8	144.255	10483000.00000000	-115220.0000000	476.87000000	-0.85381000	0.0005625	310.00	3.51E-05	460.00	4.65E-05	
259	2-Nonanol	C9H20O	628-99-9	144.255	329641.00000000	-1046.7800000	3.61823000	0.00000000	0.0000000	238.15	2.86E-05	649.50	1.18E-04	
260	1-Nonene	C9H18	124-11-8	126.239	254490.00000000	-298.0600000	1.17070000	0.00000000	0.0000000	191.91	2.40E-05	420.02	3.36E-05	
261	Nonyl mercaptan	C9H20S	1455-21-6	160.32	265350.00000000	-46.2200000	0.79154000	0.00000000	0.0000000	253.05	3.04E-05	492.95	4.35E-05	
262	1-Nonyne	C9H16	None	124.223	253580.00000000	-366.3000000	1.48810000	0.00000000	0.0000000	223.15	2.46E-05	423.85	3.66E-05	
263	Octadecane	C18H38	593-45-3	254.494	399430.00000000	374.6400000	0.58156000	0.00000000	0.0000000	301.31	5.65E-05	589.86	8.23E-05	
264	Octanal	C8H16O	124-13-0	128.212	130650.00000000	463.6100000	0.00000000	0.00000000	0.0000000	246.00	2.45E-05	447.15	3.38E-05	
265	Octane	C8H18	111-65-9	114.229	224830.00000000	-186.6300000	0.95891000	0.00000000	0.0000000	216.38	2.29E-05	460.00	3.42E-05	
266	Octanoic acid	C8H16O2	124-07-2	144.211	205260.00000000	44.3920000	0.89560000	0.00000000	0.0000000	289.65	2.93E-05	512.85	4.64E-05	
267	1-Octanol	C8H18O	111-87-5	130.228	571370.00000000	-4849.0000000	19.72500000	-0.02153200	0.0000000	250.00	2.56E-05	467.10	4.16E-05	
268	2-Octanol	C8H18O	123-96-6	130.228	319198.00000000	-1042.2100000	3.52943000	0.00000000	0.0000000	241.55	2.73E-05	452.90	5.71E-05	
269	2-Octanone	C8H16O	111-13-7	128.212	300400.00000000	-426.2000000	1.11720000	0.00000000	0.0000000	252.86	2.64E-05	500.00	3.67E-05	
270	3-Octanone	C8H16O	106-68-3	128.212	289980.00000000	-417.2700000	1.22180000	0.00000000	0.0000000	255.55	2.63E-05	440.65	3.43E-05	
271	1-Octene	C8H16	111-66-0	112.213	509420.00000000	-4279.1000000	21.47700000	-0.04446200	0.0000350	171.45	2.13E-05	394.41	2.82E-05	
272	Octyl mercaptan	C8H18S	111-88-6	146.294	240040.00000000	-33.1980000	0.67889000	0.00000000	0.0000000	240.00	2.71E-05	472.19	3.76E-05	
273	1-Octyne	C8H14	629-05-0	110.197	42642.00000000	886.6700000	-0.69315000	0.00000000	0.0000000	200.00	1.92E-05	399.35	2.86E-05	
274	Oxalic acid	C2H2O4	144-62-7	90.035	175510.00000000	-381.3600000	0.64623000	0.00000000	0.0000000	462.65	1.37E-05	603.00	1.81E-05	
275	Oxygen	O2	7782-44-7	31.999	175430.00000000	-6152.3000000	113.92000000	-0.92382000	0.0027963	54.36	5.37E-06	142.00	9.07E-06	
276	Ozone	O3	10028-15-6	47.998	60046.00000000	0.0000000	0.00000000	0.00000000	0.0000000	281.16	9.00E-04	0.85	1.50E-03	1.0222
277	Pentadecane	C15H32	629-62-9	212.415	346910.00000000	219.5400000	0.65632000	0.00000000	0.0000000	283.07	4.62E-05	543.84	6.60E-05	
278	Pentanal	C5H10O	110-62-3	86.132	112050.00000000	257.7800000	0.00000000	0.00000000	0.0000000	200.00	1.64E-05	376.15	2.09E-05	
279	Pentane	C5H12	109-66-0	72.149	159080.00000000	-270.5000000	0.99537000	0.00000000	0.0000000	143.42	1.41E-05	390.00	2.05E-05	
280	Pentanoic acid	C5H10O2	109-52-4	102.132	145050.00000000	28.3440000	0.63720000	0.00000000	0.0000000	239.15	1.88E-05	458.95	2.92E-05	
281	1-Pentanol	C5H12O	71-41-0	88.148	201200.00000000	-651.3000000	2.27500000	0.00000000	0.0000000	200.14	1.62E-05	389.15	2.92E-05	
282	2-Pentanol	C5H12O	6032-29-7	88.148	251596.00000000	-1028.4900000	3.26306000	0.00000000	0.0000000	200.00	1.76E-05	561.00	7.02E-05	
283	2-Pentanone	C5H10O	107-87-9	86.132	194590.00000000	-263.8600000	0.76808000	0.00000000	0.0000000	196.29	1.72E-05	375.46	2.04E-05	
284	3-Pentanone	C5H10O	96-22-0	86.132	193020.00000000	-176.4300000	0.56690000	0.00000000	0.0000000	234.18	1.83E-05	375.14	2.07E-05	
285	1-Pentene	C5H10	109-67-1	70.133	156100.00000000	-456.9400000	2.25500000	-0.00316300	0.0000024	108.02	1.29E-05	350.00	1.73E-05	
286	2-Pentyl mercaptan	C5H12S	2084-19-7	104.214	188200.00000000	-140.8400000	0.63581000	0.00000000	0.0000000	160.75	1.82E-05	385.15	2.28E-05	
287	Pentyl mercaptan	C5H12S	110-66-7	104.214	213760.00000000	-324.4000000	0.94720000	0.00000000	0.0000000	197.45	1.87E-05	399.79	2.35E-05	
288	1-Pentyne	C5H8	627-19-0	68.117	86200.00000000	256.6000000	0.00000000	0.00000000	0.0000000	200.00	1.38E-05	313.33	1.67E-05	
289	2-Pentyne	C5H8	627-21-4	68.117	68671.00000000	246.6600000	0.00000000	0.00000000	0.0000000	200.00	1.18E-05	329.27	1.50E-05	
290	Phenanthrene	C14H10	85-01-8	178.229	103370.00000000	527.0300000	0.00000000	0.00000000	0.0000000	372.39	3.00E-05	500.00	3.67E-05	
291	Phenol	C6H6O	108-95-2	94.111	101720.00000000	317.6100000	0.00000000	0.00000000	0.0000000	314.06	2.01E-05	425.00	2.37E-05	
292	Phenyl isocyanate	C7H5NO	103-71-9	119.121	60834.00000000	215.8900000	0.29552000	0.00000000	0.0000000	243.15	1.31E-05	489.75	2.37E-05	
293	Phthalic anhydride	C8H4O3	85-44-9	148.116	145400.00000000	252.4000000	0.00000000	0.00000000	0.0000000	404.15	2.47E-05	557.65	2.86E-05	
294	Propadiene	C3H4	463-49-0	40.064	66230.00000000	98.2750000	0.00000000	0.00000000	0.0000000	200.00	8.59E-06	238.65	8.97E-06	
296	1-Propanol	C3H8O	71-23-8	60.095	158760.00000000	-635.0000000	1.96900000	0.00000000	0.0000000	146.95	1.08E-05	400.00	2.20E-05	
297	2-Propanol	C3H8O	67-63-0	60.095	471710.00000000	-4172.1000000	14.74500000	-0.01440000	0.0000000	185.26	1.13E-05	355.30	2.05E-05	
298	Propenylcyclohexene	C9H14	13511-13-2	122.207	201400.00000000	-450.6000000	1.70530000	0.00000000	0.0000000	199.00	1.79E-05	431.65	3.25E-05	
299	Propionaldehyde	C3H6O	123-38-6	58.079	99306.00000000	115.7300000	0.00000000	0.00000000	0.0000000	200.00	1.22E-05	328.75	1.37E-05	
300	Propionic acid	C3H6O2	79-09-4	74.079	213660.00000000	-702.7000000	1.66050000	0.00000000	0.0000000	252.45	1.42E-05	414.32	2.08E-05	
301	Propionitrile	C3H5N	107-12-0	55.079	118190.00000000	-120.9800000	0.42075000	0.00000000	0.0000000	180.26	1.10E-05	370.50	1.31E-05	
302	Propyl acetate	C5H10O2	109-60-4	102.132	83400.00000000	384.1000000	0.00000000	0.00000000	0.0000000	274.70	1.89E-05	404.70	2.39E-05	
303	Propyl amine	C3H9N	107-10-8	59.11	139530.00000000	78.0000000	0.00000000	0.00000000	0.0000000	188.36	1.54E-05	340.00	1.66E-05	
304	Propylbenzene	C9H12	103-65-1	120.192	174380.00000000	-101.8000000	0.79000000	0.00000000	0.0000000	173.55	1.81E-05	432.39	2.78E-05	
305	Propylene	C3H6	115-07-1	42.08	114140.00000000	-343.7200000	1.09050000	0.00000000	0.0000000	87.89	9.24E-06	225.45	9.21E-06	
306	Propyl formate	C4H8O2	110-74-7	88.105	75700.00000000	326.1000000	0.00000000	0.00000000	0.0000000	298.15	1.73E-05	398.15	2.06E-05	
307	2-Propyl mercaptan	C3H2S	75-33-2	76.161	138390.00000000	-117.1100000	0.47059000	0.00000000	0.0000000	142.61	1.31E-05	350.00	1.55E-05	
308	Propyl mercaptan	C3H8S	107-03-9	76.161	167330.00000000	-319.1000000	0.81270000	0.00000000	0.0000000	159.95	1.37E-05	340.87	1.53E-05	
309	1,2-Propylene glycol	C3H8O2	57-55-6	76.094	58080.00000000	445.2000000	0.00000000	0.00000000	0.0000000	213.15	1.53E-05	460.75	2.63E-05	
310	Quinone	C6H4O2	106-51-4	108.095	45810.00000000	368.3300000	0.00000000	0.00000000	0.0000000	388.85	1.89E-05	683.00	2.97E-05	
311	Silicon tetrafluoride	F4Si	7783-61-1	104.079	829380.00000000	-7331.5000000	19.20300000	0.00000000	0.0000000	186.35	1.30E-05	253.15	2.04E-05	
312	Styrene	C8H8	100-42-5	104.149	113340.00000000	290.2000000	-0.60510000	0.00135670	0.0000000	242.54	1.67E-05	418.31	2.28E-05	
313	Succinic acid	C4H6O4	110-15-6	118.088	244770.00000000	-236.9600000	0.63148000	0.00000000	0.0000000	460.65	2.70E-05	604.50	3.32E-05	
314	Sulfur dioxide	O2S	None	64.064	85743.00000000	5.7443000	0.00000000	0.00000000	0.0000000	197.67	8.69E-06	350.00	8.78E-06	
315	Sulfur hexafluoride	F6S	2551-62-4	146.055	119500.00000000	0.0000000	0.00000000	0.00000000	0.0000000	230.15	1.20E-05	230.15	1.20E-05	
316	Sulfur trioxide	O3S	None	80.063	258090.00000000	0.0000000	0.00000000	0.00000000	0.0000000	303.15	2.58E-05	303.15	2.58E-05	
318	o-Terphenyl	C18H14	84-15-1	230.304	182900.00000000	635.0900000	0.00000000	0.00000000	0.0000000	329.35	3.92E-05	609.15	5.70E-05	
319	Tetradecane	C14H30	629-59-4	198.388	353140.00000000	29.1300000	0.86116000	0.00000000	0.0000000	279.01	4.28E-05	526.73	6.07E-05	
320	Tetrahydrofuran	C4H8O	109-99-9	72.106	171730.00000000	-800.4700000	2.89340000	-0.00250150	0.0000000	164.65	1.07E-05	339.12	1.35E-05	
321	1,2,3,4-Tetrahydronaphthalene	C10H12	119-64-2	132.202	81760.00000000	455.3800000	0.00000000	0.00000000	0.0000000	237.38	1.90E-05	480.77	3.01E-05	
322	Tetrahydrothiophene	C4H8S	110-01-0	88.171	123300.00000000	-130.1000000	0.62290000	0.00000000	0.0000000	176.98	1.20E-05	394.27	1.69E-05	
323	2,2,3,3-Tetramethylbutane	C8H18	594-82-1	114.229	43326.00000000	630.7300000	0.00000000	0.00000000	0.0000000	375.41	2.80E-05	426.00	3.12E-05	
324	Thiophene	C4H4S	110-02-1	84.14	84864.00000000	91.7250000	0.13243000	0.00000000	0.0000000	234.94	1.14E-05	357.31	1.35E-05	
325	Toluene	C7H8	108-88-3	92.138	140140.00000000	-152.3000000	0.69500000	0.00000000	0.0000000	178.18	1.35E-05	500.00	2.38E-05	
326	1,1,2-Trichloroethane	C2H3Cl3	79-00-5	133.404	103350.00000000	159.3000000	0.00000000	0.00000000	0.0000000	236.50	1.41E-05	300.00	1.51E-05	
327	Tridecane	C13H28	629-50-5	184.361	350180.00000000	-104.7000000	1.00220000	0.00000000	0.0000000	267.76	3.94E-05	508.62	5.56E-05	
328	Triethyl amine	C6H15N	121-44-8	101.19	111480.00000000	368.1300000	0.00000000	0.00000000	0.0000000	200.00	1.85E-05	361.92	2.45E-05	
329	Trimethyl amine	C3H9N	75-50-3	59.11	136050.00000000	-288.0000000	0.99130000	0.00000000	0.0000000	156.08	1.15E-05	276.02	1.32E-05	
330	1,2,3-Trimethylbenzene	C9H12	526-73-8	120.192	119450.00000000	324.5400000	0.00000000	0.00000000	0.0000000	247.79	2.00E-05	449.27	2.65E-05	
331	1,2,4-Trimethylbenzene	C9H12	95-63-6	120.192	178800.00000000	-128.4700000	0.83741000	0.00000000	0.0000000	229.33	1.93E-05	350.00	2.36E-05	
332	2,2,4-Trimethylpentane	C8H18	540-84-1	114.229	95275.00000000	696.7000000	-1.37650000	0.00217340	0.0000000	165.78	1.83E-05	520.00	3.91E-05	
333	2,3,3-Trimethylpentane	C8H18	560-21-4	114.229	388620.00000000	-1439.5000000	3.21870000	0.00000000	0.0000000	280.00	2.38E-05	320.00	2.58E-05	
334	1,3,5-Trinitrobenzene	C6H3N3O6	99-35-4	213.105	40364.00000000	664.4600000	0.00000000	0.00000000	0.0000000	398.40	3.05E-05	475.47	3.56E-05	
335	2,4,6-Trinitrotoluene	C7H5N3O6	118-96-7	227.131	133530.00000000	514.6400000	0.00000000	0.00000000	0.0000000	354.00	3.16E-05	475.00	3.78E-05	
336	Undecane	C11H24	1120-21-4	156.308	293980.00000000	-114.9800000	0.96936000	0.00000000	0.0000000	247.57	3.25E-05	433.42	4.26E-05	
337	1-Undecanol	C11H24O	112-42-5	172.308	129450.00000000	-3039.5000000	27.92700000	-0.06184700	0.0000430	289.05	3.91E-05	520.30	5.51E-05	
338	Vinyl acetate	C4H6O2	108-05-4	86.089	136300.00000000	-106.1700000	0.75175000	0.00000000	0.0000000	259.56	1.59E-05	389.35	2.09E-05	
339	Vinyl acetylene	C4H4	689-97-4	52.075	68720.00000000	135.0000000	0.00000000	0.00000000	0.0000000	200.00	9.57E-06	278.25	1.06E-05	
340	Vinyl chloride	C2H3Cl	75-01-4	62.498	-10320.00000000	322.8000000	0.00000000	0.00000000	0.0000000	200.00	5.42E-06	400.00	1.19E-05	
341	Vinyl trichlorosilane	C2H3Cl3Si	75-94-5	161.49	49516.00000000	420.3500000	0.00000000	0.00000000	0.0000000	178.35	1.24E-05	363.85	2.02E-05	
342	Water	H2O	7732-18-5	18.015	276370.00000000	-2090.1000000	8.12500000	-0.01411600	0.0000094	273.16	7.62E-06	533.15	8.94E-06	
343	m-Xylene	C8H10	108-38-3	106.165	133860.00000000	7.8754000	0.52265000	0.00000000	0.0000000	217.00	1.60E-05	540.15	2.91E-05	
344	o-Xylene	C8H10	95-47-6	106.165	36500.00000000	1017.5000000	-2.63000000	0.00302000	0.0000000	247.98	1.73E-05	417.58	2.23E-05	
345	p-Xylene	C8H10	106-42-3	106.165	-35500.00000000	1287.2000000	-2.59900000	0.00242600	0.0000000	286.41	1.77E-05	600.00	3.25E-05	
