"CASRN"	"Name"	"Formula"	"Lifetime, years"	"Radiative efficiency, W/m^2/ppb"	"20yr GWP"	"100yr GWP"	"20yr GTP"	"50yr GTP"	"100yr GTP"
"2356-62-9"	"HFE-227ea"	"CF3CHFOCF3"	51.6	0.44	8900	6450	8980	6850	3630
"13838-16-9"	"HCFE-235ca2 (enflurane)"	"CHF2OCF2CHFCl"	4.3	0.41	2120	583	1080	116	81
"26675-46-7"	"HCFE-235da2 (isoflurane)"	"CHF2OCHClCF3"	3.5	0.42	1800	491	822	93	68
"32778-11-3"	"HFE-236ca"	"CHF2OCF2CHF2"	20.8	0.56	9710	4240	8820	3400	912
"57041-67-5"	"HFE-236ea2 (desflurane)"	"CHF2OCHFCF3"	10.8	0.45	5550	1790	4280	753	260
"20193-67-3"	"HFE-236fa"	"CF3CH2OCF3"	7.5	0.36	3350	979	2240	273	138
"22410-44-2"	"HFE-245cb2"	"CF3CF2OCH3"	4.9	0.33	2360	654	1280	136	91
"84011-15-4"	"HFE-245fa1"	"CHF2CH2OCF3"	6.6	0.31	2900	828	1820	206	116
"1885-48-9"	"HFE-245fa2"	"CHF2OCH2CF3"	5.5	0.36	2910	812	1670	179	114
"422-05-9"	"2,2,3,3,3-Pentafluoropropan-1-ol"	"CF3CF2CH2OH"	0.3	0.14	69	19	21	3	3
"425-88-7"	"HFE-254cb1"	"CH3OCF2CHF2"	2.5	0.26	1110	301	438	54	42
"460-43-5"	"HFE-263fb2"	"CF3CH2OCH3"	0.06	0.04	5	1	1		
"690-22-2"	"HFE-263m1"	"CF3OCH2CH3"	0.4	0.13	108	29	33	5	4
"2240-88-2"	"3,3,3-Trifluoropropan-1-ol"	"CF3CH2CH2OH"	0.03	0.02	1				
"134769-21-4"	"HFE-329mcc2"	"CHF2CF2OCF2CF3"	22.5	0.53	6720	3070	6180	2580	718
"26103-08-2"	"HFE-338mmz1"	"(CF3)2CHOCHF2"	21.2	0.44	5940	2620	5410	2130	575
"156053-88-2"	"HFE-338mcf2"	"CF3CH2OCF2CF3"	7.5	0.44	3180	929	2120	259	131
"28523-86-6"	"Sevoflurane (HFE-347mmz1)"	"(CF3)2CHOCH2F"	2.2	0.32	795	216	302	38	30
"375-03-1"	"HFE-347mcc3 (HFE-7000)"	"CH3OCF2CF2CF3"	5	0.35	1910	530	1050	111	74
"171182-95-9"	"HFE-347mcf2"	"CHF2CH2OCF2CF3"	6.6	0.42	2990	854	1880	212	120
"406-78-0"	"HFE-347pcf2"	"CHF2CF2OCH2CF3"	6	0.48	3150	889	1900	206	124
"22052-84-2"	"HFE-347mmy1"	"(CF3)2CFOCH3"	3.7	0.32	1330	363	624	69	51
"382-34-3"	"HFE-356mec3"	"CH3OCF2CHFCF3"	3.8	0.3	1410	387	673	74	54
"333-36-8"	"HFE-356mff2"	"CF3CH2OCH2CF3"	0.29	0.17	62	17	18	3	2
"50807-77-7"	"HFE-356pcf2"	"CHF2CH2OCF2CHF2"	5.7	0.37	2560	719	1500	162	101
"35042-99-0"	"HFE-356pcf3"	"CHF2OCH2CF2CHF2"	3.5	0.38	1640	446	747	84	62
