"CAS"	"Name"	"Formula"	"Lifetime, years"	"Radiative efficiency, W/m^2/ppb"	"20yr GWP"	"100yr GWP"	"20yr GTP"	"50yr GTP"	"100yr GTP"	"20yr AGWP"	"100yr AGWP"	"20yr AGTP"	"50yr AGTP"	"100yr AGTP"
"371-62-0"	"2-Fluoroethanol"	"CH2FCH2OH"	0.06	0.02	3	0.88	0.943	0.147	0.121	8.07E-14	8.07E-14	6.45E-16	9.07E-17	6.63E-17
"373-80-8"	"(Trifluoromethyl) sulphur pentafluoride"	"SF5CF3"	800	0.59	13500	17400	14500	17800	20200	3.36E-10	1.6E-09	9.93E-12	1.1E-11	1.11E-11
"374-27-6"	"HFC-1345zfc"	"C2F5CH=CH 2"	0.02	0.01	0.462	0.125	0.134	0.0211	0.0173	1.15E-14	1.15E-14	9.19E-17	1.3E-17	9.48E-18
"375-01-9"	"2,2,3,3,4,4,4-Heptafluorobutan-1-ol"	"C3F7CH2OH"	0.6	0.2	124	34	38	6	5	3.1E-12	3.1E-12	2.61E-14	3.52E-15	2.55E-15
"375-03-1"	"HFE-347mcc3 (HFE-7000)"	"CH3OCF2CF2CF3"	5	0.35	1910	530	1050	111	74	4.78E-11	4.86E-11	7.18E-13	6.87E-14	4.05E-14
"375-17-7"	"HFC-329p"	"CHF2CF2CF2CF3"	28.4	0.31	4510	2360	4290	2220	725	1.13E-10	2.16E-10	2.94E-12	1.37E-12	3.96E-13
"378-16-5"	"HFE-365mcf3"	"CF3CF2CH2OCH3"	0.05	0.05	3	0.928	0.994	0.155	0.128	8.51E-14	8.51E-14	6.8E-16	9.56E-17	6.99E-17
"380-34-7"	"1-Ethoxy-1,1,2,3,3,3-hexafluoropropane"	"CF3CHFCF2OCH2CH3"	0.4	0.19	86	23	26	4	3	2.14E-12	2.14E-12	1.77E-14	2.43E-15	1.76E-15
"3822-68-2"	"HFE-125"	"CHF2OCF3"	119	0.41	12400	12400	13000	13200	10900	3.1E-10	1.14E-09	8.91E-12	8.14E-12	5.97E-12
"382-31-0"	"2,2,3,4,4,4-Hexafluoro-1-butanol"	"CF3CHFCF2CH2OH"	0.26	0.19	63	17	19	3	2	1.56E-12	1.56E-12	1.27E-14	1.76E-15	1.28E-15
"382-34-3"	"HFE-356mec3"	"CH3OCF2CHFCF3"	3.8	0.3	1410	387	673	74	54	3.53E-11	3.55E-11	4.6E-13	4.58E-14	2.94E-14
"383-63-1"	"Ethyl 2,2,2-trifluoroacetate"	"CF3COOCH2CH3"	0.06	0.05	5	1	1	0.229	0.188	1.26E-13	1.26E-13	1E-15	1.41E-16	1.03E-16
"406-58-6"	"HFC-365mfc"	"CH3CF2CH2CF3"	8.7	0.22	2660	804	1890	262	114	6.64E-11	7.38E-11	1.3E-12	1.62E-13	6.24E-14
"406-78-0"	"HFE-347pcf2"	"CHF2CF2OCH2CF3"	6	0.48	3150	889	1900	206	124	7.86E-11	8.15E-11	1.3E-12	1.27E-13	6.81E-14
"406-90-6"	"Fluoroxene"	"CF3CH2OCH=CH2"	0.01	0.01	0.2	0.0542	0.0577	0.00904	0.00746	4.97E-15	4.97E-15	3.95E-17	5.58E-18	4.08E-18
"407-38-5"	"2,2,2-Trifluoroethyl 2,2,2-trifluoroacetate"	"CF3COOCH2CF3"	0.15	0.15	25	7	7	1	0.941	6.27E-13	6.27E-13	5.06E-15	7.07E-16	5.15E-16
"420-45-1"	"HFC-272ca"	"CH3CF2CH3"	2.6	0.07	530	144	213	26	20	1.32E-11	1.32E-11	1.46E-13	1.61E-14	1.09E-14
"420-46-2"	"HFC-143a"	"CH3CF3"	47.1	0.16	6940	4800	6960	5060	2500	1.73E-10	4.41E-10	4.76E-12	3.12E-12	1.37E-12
"421-06-7"	"Halon-2301"	"CH2BrCF3"	3.4	0.14	635	173	286	33	24	1.59E-11	1.59E-11	1.96E-13	2.01E-14	1.32E-14
"421-07-8"	"HFC-263fb"	"CH3CH2CF3"	1.2	0.1	278	76	92	13	10	6.93E-12	6.93E-12	6.31E-14	8.02E-15	5.7E-15
"421-14-7"	"HFE-143a"	"CH3OCF3"	4.8	0.18	1890	523	1020	108	73	4.72E-11	4.8E-11	6.95E-13	6.66E-14	3.99E-14
"422-05-9"	"2,2,3,3,3-Pentafluoropropan-1-ol"	"CF3CF2CH2OH"	0.3	0.14	69	19	21	3	3	1.72E-12	1.72E-12	1.42E-14	1.95E-15	1.42E-15
"422-56-0"	"HCFC-225ca"	"CHCl2CF2CF3"	1.9	0.22	469	127	170	22	18	1.17E-11	1.17E-11	1.17E-13	1.38E-14	9.65E-15
"425-87-6"	"2-Chloro-1,1,2-trifluoro-1-methoxyethane"	"CH3OCF2CHFCl"	1.4	0.21	449	122	153	21	17	1.12E-11	1.12E-11	1.05E-13	1.31E-14	9.24E-15
"425-88-7"	"HFE-254cb1"	"CH3OCF2CHF2"	2.5	0.26	1110	301	438	54	42	2.76E-11	2.76E-11	2.99E-13	3.34E-14	2.28E-14
"428454-68-6"	"HFE-329me3"	"CF3CFHCF2OCF3"	40	0.48	7170	4550	7090	4690	2040	1.79E-10	4.17E-10	4.85E-12	2.89E-12	1.12E-12
"430-66-0"	"HFC-143"	"CH2FCHF2"	3.5	0.13	1200	328	549	62	46	3E-11	3.01E-11	3.76E-13	3.82E-14	2.49E-14
"431-31-2"	"HFC-245eb"	"CH2FCHFCF3"	3.1	0.2	1070	290	460	54	40	2.66E-11	2.66E-11	3.15E-13	3.31E-14	2.2E-14
"431-47-0"	"Methyl 2,2,2-trifluoroacetate"	"CF3COOCH3"	0.6	0.18	192	52	60	9	7	4.8E-12	4.8E-12	4.08E-14	5.47E-15	3.95E-15
"431-63-0"	"HFC-236ea"	"CHF2CHFCF3"	11	0.3	4110	1330	3190	573	195	1.03E-10	1.22E-10	2.18E-12	3.53E-13	1.06E-13
"431-89-0"	"HFC-227ea"	"CF3CHFCF3"	38.9	0.26	5360	3350	5280	3440	1460	1.34E-10	3.07E-10	3.61E-12	2.12E-12	7.98E-13
"433-53-4"	"Methyl 2,2-difluoroacetate"	"HCF2COOCH3"	0.11	0.05	12	3	4	0.548	0.452	3E-13	3E-13	2.41E-15	3.38E-16	2.47E-16
"460-22-0"	"Fluoro(methoxy)methane"	"CH3OCH2F"	0.2	0.07	46	13	14	2	2	1.15E-12	1.15E-12	9.34E-15	1.3E-15	9.46E-16
"460-40-2"	"3,3,3-Trifluoro-propanal"	"CF3CH2CHO"	0.01	0	0.0396	0.0108	0.0115	0.0018	0.00148	9.86E-16	9.86E-16	7.84E-18	1.11E-18	8.1E-19
"460-43-5"	"HFE-263fb2"	"CF3CH2OCH3"	0.06	0.04	5	1	1	0.222	0.182	1.22E-13	1.22E-13	9.72E-16	1.37E-16	9.98E-17
"460-73-1"	"HFC-245fa"	"CHF2CH2CF3"	7.7	0.24	2920	858	1970	245	121	7.29E-11	7.87E-11	1.35E-12	1.51E-13	6.62E-14
"461-18-7"	"4,4,4-Trifluorobutan-1-ol"	"CF3(CH2)2CH2OH"	0.01	0.01	0.0695	0.0189	0.0202	0.00314	0.0026	1.73E-15	1.73E-15	1.38E-17	1.94E-18	1.42E-18
"461-63-2"	"Difluoro(fluoromethoxy)methane"	"CH2FOCHF2"	3.3	0.3	2260	617	1010	115	86	5.65E-11	5.66E-11	6.88E-13	7.11E-14	4.69E-14
"462-51-1"	"Fluoro(fluoromethoxy)methane"	"CH2FOCH2F"	0.9	0.19	479	130	153	22	18	1.2E-11	1.2E-11	1.05E-13	1.37E-14	9.84E-15
"481631-19-0"	"1,2,2,2-Tetrafluoroethyl formate"	"HCOOCHFCF3"	3.2	0.35	1720	470	755	87	65	4.3E-11	4.31E-11	5.17E-13	5.39E-14	3.57E-14
"485399-46-0"	"HG’-02"	"CH3O(CF2CF2O)2CH3"	2	0.56	868	236	320	42	33	2.16E-11	2.16E-11	2.19E-13	2.57E-14	1.79E-14
"485399-48-2"	"HG’-03"	"CH3O(CF2CF2O)3CH3"	2	0.76	812	221	299	39	31	2.03E-11	2.03E-11	2.05E-13	2.41E-14	1.67E-14
"507-55-1"	"HCFC-225cb"	"CHClFCF2CClF2"	5.9	0.29	1860	525	1110	120	73	4.65E-11	4.81E-11	7.61E-13	7.43E-14	4.01E-14
"50807-77-7"	"HFE-356pcf2"	"CHF2CH2OCF2CHF2"	5.7	0.37	2560	719	1500	162	101	6.4E-11	6.59E-11	1.03E-12	9.97E-14	5.5E-14
"512-51-6"	"HFE-374pc2"	"CHF2CF2OCH2CH3"	5	0.3	2260	627	1240	132	88	5.65E-11	5.75E-11	8.48E-13	8.12E-14	4.79E-14
"5528-43-8"	"(E)-HFC-1225ye"	"CF3CF=CHF(E)"	0.01	0.01	0.291	0.0791	0.0844	0.0132	0.0109	7.25E-15	7.25E-15	5.77E-17	8.14E-18	5.95E-18
"559-40-0"	"Perfluorocyclopentene"	"c-C5F8"	0.08	0.08	7	2	2	0.311	0.256	1.71E-13	1.71E-13	1.37E-15	1.92E-16	1.4E-16
"5595-10-8"	"(Z)-HFC-1225ye"	"CF3CF=CHF(Z)"	0.02	0.02	0.859	0.233	0.249	0.0389	0.0322	2.14E-14	2.14E-14	1.7E-16	2.4E-17	1.76E-17
"56-23-5"	"Carbon tetrachloride"	"CCl4"	26	0.17	3480	1730	3280	1570	479	8.69E-11	1.59E-10	2.24E-12	9.68E-13	2.62E-13
"57041-67-5"	"HFE-236ea2 (desflurane)"	"CHF2OCHFCF3"	10.8	0.45	5550	1790	4280	753	260	1.39E-10	1.64E-10	2.93E-12	4.64E-13	1.42E-13
"593-53-3"	"HFC-41"	"CH3F"	2.8	0.02	427	116	177	21	16	1.07E-11	1.07E-11	1.21E-13	1.31E-14	8.82E-15
