Name	CAS	Acronym	Formula	Lifetime, years	Radiative efficiency, W/m^2/ppb	20yr AGWP	20yr GWP	100yr AGWP	100yr GWP	500yr AGWP	500yr GWP	50yr AGTP	50yr GTP	100yr AGTP	100yr GTP	50yr CGTP	100yr CGTP
1,1,1,2,2-pentafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane	134769-21-4	HFE-329mcc2	CHF2CF2OCF2CF3	25	0.545	0.000000000184	7550	0.000000000337	3770	0.000000000345	1100	0.00000000000129	3020	0.000000000000432	1090		
2-(difluoromethoxy)-1,1,1,3,3,3-hexafluoropropane	26103-08-2	HFE-338mmz1	(CF3)2CHOCHF2	22.3	0.452	0.000000000158	6500	0.000000000272	3040	0.000000000276	880	0.000000000000967	2260	0.000000000000314	797		
1,1,1,2,2-pentafluoro-2-(2,2,2-trifluoroethoxy)ethane	156053-88-2	HFE-338mcf2	CF3CH2OCF2CF3	7.5	0.454	0.0000000000842	3460	0.000000000093	1040	0.0000000000931	297	0.000000000000117	274	0.0000000000000764	194	105000	125000
1,1,1,3,3,3-hexafluoro-2-(fluoromethoxy)propane	28523-86-6	HFE-347mmz1	(CF3)2CHOCH2F	1.9	0.308	0.0000000000171	702	0.0000000000175	195	0.0000000000175	55.7	0.0000000000000186	43.5	0.000000000000014	35.4	20000	23600
1,1,1,2,2,3,3-heptafluoro-3-methoxypropane	375-03-1	HFE-347mcc3	CH3OCF2CF2CF3	5.1	0.339	0.0000000000492	2020	0.0000000000515	576	0.0000000000516	164	0.0000000000000574	134	0.0000000000000418	106	58500	69400
1-(2,2-difluoroethoxy)-1,1,2,2,2-pentafluoroethane	171182-95-9	HFE-347mcf2	CHF2CH2OCF2CF3	6.7	0.431	0.0000000000796	3270	0.0000000000862	963	0.0000000000862	275	0.000000000000103	241	0.0000000000000705	179	97300	116000
1,1,2,2-tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane	406-78-0	HFE-347pcf2	CHF2CF2OCH2CF3	6.1	0.482	0.0000000000821	3370	0.0000000000876	980	0.0000000000877	279	0.000000000000101	237	0.0000000000000715	181	99100	118000
1,1,1,2,3,3,3-heptafluoro-2-methoxypropane	22052-84-2	HFE-347mmy1	(CF3)2CFOCH3	3.7	0.318	0.0000000000341	1400	0.0000000000351	392	0.0000000000351	112	0.0000000000000381	89	0.0000000000000283	71.8	40000	47400
1,1,1,2,3,3-hexafluoro-3-methoxypropane	382-34-3	HFE-356mec3	CH3OCF2CHFCF3	2.5	0.288	0.0000000000231	949	0.0000000000236	264	0.0000000000236	75.3	0.0000000000000253	59.2	0.000000000000019	48	27000	32000
1,1,1-trifluoro-2-(2,2,2-trifluoroethoxy)ethane	333-36-8	HFE-356mff2	CF3CH2OCH2CF3	0.351	0.19	0.00000000000214	88	0.00000000000219	24.4	0.00000000000219	6.97	2.3E-015	5.37	1.74E-015	4.41	2510	2970
1-(2,2-difluoroethoxy)-1,1,2,2-tetrafluoroethane	50807-77-7	HFE-356pcf2	CHF2CH2OCF2CHF2	6	0.378	0.0000000000698	2870	0.0000000000744	831	0.0000000000744	237	0.0000000000000856	200	0.0000000000000606	154	84100	100000
3-(difluoromethoxy)-1,1,2,2-tetrafluoropropane	35042-99-0	HFE-356pcf3	CHF2OCH2CF2CHF2	3.5	0.378	0.0000000000421	1730	0.0000000000433	484	0.0000000000433	138	0.0000000000000468	110	0.0000000000000349	88.4	49300	58500
1,1,2,2,3,3-hexafluoro-1-methoxypropane	160620-20-2	HFE-356pcc3	CH3OCF2CF2CHF2	2.5	0.303	0.0000000000242	995	0.0000000000248	277	0.0000000000248	79	0.0000000000000266	62.1	0.0000000000000199	50.4	28300	33500
1,1,1,3,3,3-hexafluoro-2-methoxypropane	13171-18-1	HFE-356mmz1	(CF3)2CHOCH3	0.178	0.125	0.000000000000713	29.3	0.000000000000728	8.13	0.000000000000728	2.32	7.63E-016	1.78	5.78E-016	1.47	835	988
1,1,1,2,2-pentafluoro-3-methoxypropane	378-16-5	HFE-365mcf3	CF3CF2CH2OCH3	0.069	0.058	0.00000000000014	5.77	0.000000000000143	1.6	0.000000000000143	0.457	1.5E-016	0.351	1.14E-016	0.289	164	195
1-ethoxy-1,1,2,2-tetrafluoroethane	512-51-6	HFE-374pc2	CHF2CF2OCH2CH3	0.208	0.132	0.0000000000011	45	0.00000000000112	12.5	0.00000000000112	3.56	1.17E-015	2.74	8.89E-016	2.25	1280	1520
4,4,4-trifluorobutan-1-ol	461-18-7		CF3(CH2)2CH2OH	0.015	0.006	4.33E-015	0.178	4.42E-015	0.049	4.42E-015	0.014	4.63E-018	0.011	3.51E-018	0.009	5.08	6.01
2,2,3,3,4,4,5,5-octafluorocyclopentan-1-ol	16621-87-7		cyc (-(CF2)4CH(OH)-)	0.301	0.156	0.0000000000012	49.1	0.00000000000122	13.6	0.00000000000122	3.89	1.28E-015	3	9.71E-016	2.46	1400	1660
1-(difluoromethoxy)-2-[difluoromethoxy(difluoro)methoxy]-1,1,2,2-tetrafluoroethane	188690-77-9	HFE-43-10pccc124	CHF2OCF2OCF2CF2OCHF2	14.1	1.03	0.000000000212	8720	0.000000000288	3220	0.000000000289	920	0.000000000000667	1560	0.000000000000255	647	309000	383000
1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxybutane	219484-64-7	HFE-449s1	C4F9OCH3	4.8	0.36	0.0000000000395	1620	0.0000000000412	460	0.0000000000412	131	0.0000000000000455	106	0.0000000000000334	84.6	46700	55500
1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxybutane	163702-07-6	n-HFE-7100	CF3CF2CF2CF2OCH3	4.8	0.425	0.0000000000467	1920	0.0000000000486	544	0.0000000000487	155	0.0000000000000538	126	0.0000000000000394	99.9	55200	65600
2-(difluoromethoxymethyl)-1,1,1,2,3,3,3-heptafluoropropane	163702-08-7	i-HFE-7100	(CF3)2CFCF2OCH3	4.8	0.341	0.0000000000375	1540	0.0000000000391	437	0.0000000000391	124	0.0000000000000432	101	0.0000000000000317	80.2	44300	52600
1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane	163702-05-4	HFE-569sf2	C4F9OC2H5	0.8	0.301	0.00000000000532	219	0.00000000000543	60.7	0.00000000000543	17.3	5.73E-015	13.4	4.33E-015	11	6220	7370
1-ethoxy-1,1,2,3,3,3-hexafluoro-2-(trifluoromethyl)propane	163702-06-5	i-HFE-7200	(CF3)2CFCF2OCH2CH3	0.63	0.216	0.00000000000301	124	0.00000000000307	34.3	0.00000000000307	9.78	3.23E-015	7.56	2.45E-015	6.2	3520	4160
1,1,1,2,2,3,4,5,5,5-decafluoro-3-methoxy-4-(trifluoromethyl)pentane	132182-92-4	HFE-7300	(CF3)2CFCFOC2H5CF2CF2CF3	5.24	0.48	0.0000000000345	1420	0.0000000000362	405	0.0000000000362	115	0.0000000000000405	94.7	0.0000000000000294	74.6	41100	48800
4-ethoxy-1,1,1,2,2,3,3,4,5,6,6,6-dodecafluoro-5-(trifluoromethyl)hexane	297730-93-9	HFE-7500	n-C3F7CFOC2H5CF(CF3)2	0.3	0.27	0.00000000000114	47	0.00000000000117	13	0.00000000000117	3.72	1.22E-015	2.86	9.28E-016	2.35	1340	1580
Bis(difluoromethoxy)-difluoromethane	78522-47-1	HFE-236ca12	CHF2OCF2OCHF2	26.5	0.648	0.000000000285	11700	0.000000000542	6060	0.000000000557	1770	0.00000000000215	5020	0.000000000000733	1860		
1,2-bis(difluoromethoxy)-1,1,2,2-tetrafluoroethane	188690-78-0	HFE-338pcc13	CHF2OCF2CF2OCHF2	13.4	0.87	0.000000000223	9180	0.000000000297	3320	0.000000000297	948	0.000000000000649	1520	0.000000000000259	657	321000	395000
1,1,1,3,3,3-hexafluoropropan-2-ol	920-66-1	HFIP	(CF3)2CHOH	1.9	0.274	0.000000000018	742	0.0000000000185	206	0.0000000000185	58.8	0.0000000000000197	46	0.0000000000000148	37.4	21100	25000
1-(difluoromethoxy)-2-[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethoxy]-1,1,2,2-tetrafluoroethane	205367-61-9	HG-02	CHF2(OCF2CF2)2OCHF2	26.9	1.15	0.000000000268	11000	0.000000000513	5730	0.000000000527	1680	0.00000000000205	4780	0.000000000000704	1780		
1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-tetraoxadodecane	173350-37-3	HG-03	CHF2(OCF2CF2)3OCHF2	26.9	1.43	0.00000000025	10300	0.000000000479	5350	0.000000000492	1570	0.00000000000191	4470	0.000000000000657	1660		
2-ethenoxy-1,1,1-trifluoroethane	406-90-6	Fluroxene	CF3CH2OCH=CH2	0.01	0.011	5.05E-015	0.207	5.15E-015	0.058	5.15E-015	0.016	5.39E-018	0.013	4.09E-018	0.01	5.91	6.99
2-ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan	920979-28-8		C12H5F19O2	0.81	0.489	0.00000000000427	175	0.00000000000436	48.7	0.00000000000436	13.9	4.6E-015	10.7	3.47E-015	8.8	4990	5910
Difluoro(methoxy)methane	359-15-9		CH3OCHF2	1.1	0.153	0.0000000000119	491	0.0000000000122	136	0.0000000000122	38.9	0.0000000000000129	30.1	9.73E-015	24.7	14000	16500
1,1,2,2-tetrafluoro-1,2-dimethoxyethane	73287-23-7	HG'-01	CH3OCF2CF2OCH3	1.7	0.289	0.0000000000177	727	0.0000000000181	202	0.0000000000181	57.7	0.0000000000000192	45	0.0000000000000145	36.7	20700	24500
1,1,2,2-Tetrafluoro-1-methoxyethane	485399-46-0	HG'-02	CH3O(CF2CF2O)2CH3	1.7	0.562	0.00000000002	823	0.0000000000205	229	0.0000000000205	65.3	0.0000000000000218	50.9	0.0000000000000164	41.5	23400	27700
1,1,2,2-tetrafluoro-1-methoxy-2-[1,1,2,2-tetrafluoro-2-(1,1,2,2-tetrafluoro-2-methoxyethoxy)ethoxy]ethane	485399-48-2	HG'-03	CH3O(CF2CF2O)3CH3	1.7	0.762	0.0000000000192	789	0.0000000000196	219	0.0000000000196	62.5	0.0000000000000209	48.8	0.0000000000000157	39.8	22400	26600
1,1,1,2,3,3-hexafluoro-3-(trifluoromethoxy)propane	428454-68-6	HFE-329me3	CF3CFHCF2OCF3	33.6	0.489	0.00000000018	7410	0.000000000393	4390	0.000000000416	1330	0.00000000000173	4040	0.000000000000671	1700		
3,3,4,4,5,5,6,6,7,7,7-undecafluoroheptan-1-ol	185689-57-0		CF3(CF2)4CH2CH2OH	0.047	0.054	0.0000000000000468	1.92	0.0000000000000477	0.533	0.0000000000000477	0.152	5E-017	0.117	3.79E-017	0.096	54.8	64.8
3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-pentadecafluorononan-1-ol	755-02-2		CF3(CF2)6CH2CH2OH	0.047	0.06	0.0000000000000393	1.62	0.0000000000000401	0.449	0.0000000000000402	0.128	4.21E-017	0.098	3.19E-017	0.081	46.1	54.5
3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoroundecan-1-ol	87017-97-8		CF3(CF2)8CH2CH2OH	0.047	0.045	0.000000000000024	0.985	0.0000000000000245	0.273	0.0000000000000245	0.078	2.56E-017	0.06	1.94E-017	0.049	28.1	33.2
2-chloro-1,1,2-trifluoro-1-methoxyethane	425-87-6		CH3OCF2CHClF	1.43	0.211	0.0000000000119	488	0.0000000000121	136	0.0000000000121	38.7	0.0000000000000129	30.1	9.7E-015	24.6	13900	16400
1‐(difluoro(trifluoromethoxy)methoxy)‐1,1,2,3,3,3‐hexafluoro‐2‐(trifluoromethoxy)propane	1309353-34-1	PFPMIE	CF3OCFCF3CF2OCF2OCF3	800	0.64	0.000000000189	7750	0.00000000092	10300	0.00000000368	11700	0.00000000000459	10700	0.00000000000475	12000		
1,1,2-trifluoro-2-(trifluoromethoxy)ethene	1187-93-5	HFE-216	CF3OCF=CF2	0.004	0.006	9.09E-016	0.037	9.27E-016	0.01	9.28E-016	0.003	9.71E-019	0.002	7.37E-019	0.002	1.06	1.26
Perfluoroethyl formate	313064-40-3		CF3CF2OCHO	3.6	0.408	0.0000000000519	2130	0.0000000000534	597	0.0000000000534	170	0.0000000000000579	135	0.0000000000000431	109	60800	72100
2,2,2-trifluoroethyl formate	32042-38-9		CF3CH2OCHO	0.548	0.192	0.0000000000048	197	0.0000000000049	54.8	0.0000000000049	15.6	5.16E-015	12.1	3.9E-015	9.89	5620	6650
Formic acid;1,1,1,3,3,3-hexafluoropropan-2-ol	856766-70-6		(CF3)2CHOCHO	3.1	0.255	0.0000000000235	964	0.000000000024	269	0.0000000000241	76.7	0.0000000000000259	60.6	0.0000000000000193	49	27400	32500
Ethenyl 2,2,2-trifluoroacetate	433-28-3		CF3COOCH=CH2	0.004	0.004	7.05E-016	0.029	7.19E-016	0.008	7.19E-016	0.002	7.52E-019	0.002	5.71E-019	0.001	0.825	0.976
Ethyl 2,2,2-trifluoroacetate	383-63-1		CF3COOCH2CH3	0.06	0.056	0.000000000000139	5.7	0.000000000000141	1.58	0.000000000000142	0.451	1.48E-016	0.347	1.12E-016	0.285	162	192
