CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
105-58-8	15100.0	6300.0	3500.0
105-60-2	19400.0	13800.0	3900.0
105-68-0	15700.0	5200.0	5600.0
105-70-4	16400.0	8900.0	14200.0
105-75-9	16700.0	3000.0	6700.0
106-20-7	15600.0	800.0	3200.0
106-31-0	16000.0	6300.0	7700.0
106-35-4	16200.0	5000.0	4100.0
106-38-7	19300.0	6800.0	4100.0
106-43-4	19100.0	6200.0	2600.0
106-46-7	19700.0	5600.0	2700.0
106-68-3	16200.0	4500.0	4100.0
106-74-1	15900.0	5100.0	9300.0
106-79-6	16600.0	2900.0	6700.0
106-88-7	16300.0	6200.0	5900.0
106-89-8	18900.0	7600.0	6600.0
106-91-2	16300.0	8500.0	5700.0
106-94-5	16400.0	7900.0	4800.0
106-95-6	16500.0	7300.0	4900.0
106-96-7	18100.0	6500.0	5300.0
106-98-9	13200.0	1300.0	3900.0
106-99-0	14800.0	2800.0	5600.0
107-00-6	15100.0	3400.0	5000.0
107-02-8	15000.0	7200.0	7800.0
107-03-9	16100.000000000002	5800.0	5700.0
107-05-1	17000.0	6200.0	2300.0
107-07-3	16900.0	8800.0	17200.0
107-11-9	15500.0	5700.0	10600.0
107-14-2	17400.0	13600.0	2000.0
107-18-6	16200.0	10800.0	16800.0
107-19-7	16100.000000000002	8800.0	19100.0
107-20-0	16200.0	16100.000000000002	9000.0
107-21-1	17000.0	11000.0	26000.0
107-22-2	15000.0	17000.0	13300.0
107-25-5	14900.0	5300.0	6300.0
107-29-9	16300.0	4000.0	20200.0
107-31-3	15300.0	8400.0	10200.0
107-41-5	15700.0	8400.0	17800.0
107-87-9	16000.0	7600.0	4700.0
107-92-6	14900.0	4100.0	10600.0
108-01-0	16100.000000000002	9200.0	15300.0
108-03-2	16600.0	12300.0	5500.0
108-10-1	15300.0	6100.0	4100.0
108-11-2	15400.0	3300.0	12300.0
108-18-9	14800.0	1700.0	3500.0
108-19-0	20000.0	14600.0	18800.0
108-20-3	13700.0	3900.0	2300.0
108-24-7	16000.0	11700.0	10200.0
108-30-5	18600.0	19200.0	16600.0
108-31-6	20200.0	18100.0	12600.0
108-32-7	20000.0	18000.0	4100.0
108-39-4	18000.0	5100.0	12900.0
108-42-9	20600.0	9900.0	9800.0
108-46-3	18000.0	8400.0	21000.0
108-60-1	19000.0	8200.0	5100.0
108-65-6	15600.0	5600.0	9800.0
108-67-8	18000.0	0.0	600.0
108-82-7	14900.0	3100.0	10800.0
108-83-8	16000.0	3700.0	4100.0
108-86-1	20500.0	5500.0	4100.0
108-88-3	18000.0	1400.0	2000.0
108-90-7	19000.0	4300.0	2000.0
108-91-8	17200.0	3100.0	6500.0
108-93-0	17400.0	4100.0	13500.0
108-94-1	17800.0	6300.0	5100.0
108-95-2	18000.0	5900.0	14900.0
109-08-0	18300.0	12300.0	10500.0
109-21-7	15600.0	2900.0	5600.0
109-43-3	16700.0	4500.0	4100.0
109-52-4	15000.0	4100.0	10300.0
109-53-5	15100.0	4100.0	5100.0
109-60-4	15300.0	4300.0	7600.0
109-67-1	13900.0	1400.0	3800.0
109-69-3	16200.0	5500.0	2000.0
109-73-9	16200.0	4500.0	8000.0
109-74-0	15300.0	12400.0	5100.0
109-75-1	16200.0	14300.0	5600.0
109-77-3	17700.0	18400.0	6700.0
109-78-4	17200.0	18800.0	17600.0
109-79-5	16300.0	5300.0	4500.0
109-87-5	15000.0	1800.0	8600.0
109-89-7	14900.0	2300.0	6100.0
109-90-0	15400.0	12000.0	2500.0
109-92-2	14900.0	4900.0	5600.0
109-93-3	14800.0	4200.0	5800.0
109-97-7	19200.0	7400.0	6700.0
109-99-9	16800.0	5700.0	8000.0
110-00-9	17800.0	1800.0	5300.0
110-01-0	18600.0	6700.0	9100.0
110-02-1	18900.0	2400.0	7800.0
110-12-3	16000.0	5700.0	4100.0
110-19-0	15100.0	3700.0	6300.0
110-43-0	16200.0	5700.0	4100.0
110-56-5	18300.0	7700.0	2800.0
110-59-8	15300.0	11000.0	4800.0
110-62-3	15700.0	9400.0	5800.0
110-67-8	16600.0	14400.0	7800.0
110-71-4	15400.0	6000.0	6000.0
110-75-8	16300.0	6700.0	5800.0
110-81-6	16700.0	6700.0	5700.0
110-83-8	17200.0	1000.0	5000.0
110-86-1	19000.0	8800.0	5900.0
110-87-2	17500.0	5500.0	5700.0
110-88-3	18700.0	9200.0	8600.0
110-89-4	17600.0	4500.0	8900.0
110-91-8	18800.0	4900.0	9200.0
110-98-5	16500.0	10600.0	17700.0
111-20-6	17100.0	7100.0	11700.0
111-27-3	15900.0	5800.0	12500.0
111-34-2	15200.0	4100.0	5100.0
111-40-0	16700.0	13300.0	14300.0
111-42-2	17200.0	10800.0	21200.0
111-43-3	15100.0	4200.0	3700.0
111-44-4	18800.0	9000.0	5700.0
111-46-6	16600.0	12000.0	20700.0
111-48-8	17300.0	8800.0	19800.0
111-55-7	16200.0	4700.0	9800.0
111-62-6	14500.0	3800.0	3700.0
111-66-0	15300.0	1000.0	2400.0
111-76-2	16000.0	5100.0	12300.0
111-77-3	16200.0	7800.0	12600.0
111-87-5	16000.0	5000.0	11900.0
111-90-0	16100.000000000002	9200.0	12200.0
111-91-1	17100.0	10200.0	7100.0
111-92-2	15000.0	3000.0	4300.0
111-96-6	15800.0	6100.0	9200.0
112-06-1	15800.0	2900.0	5500.0
112-07-2	15300.0	4500.0	8800.0
112-14-1	15800.0	2900.0	5100.0
112-15-2	16200.0	5100.0	9200.0
112-25-4	16000.0	5000.0	11400.0
112-27-6	16000.0	12500.0	18600.0
112-28-7	15500.0	5700.0	11200.0
112-30-1	16000.0	4700.0	10000.0
112-34-5	16000.0	7000.0	10600.0
112-35-6	16200.0	7600.0	12500.0
112-36-7	15800.0	5900.0	5600.0
112-48-1	15700.0	4500.0	4200.0
112-53-8	16000.0	4000.0	9300.0
112-58-3	16000.0	3000.0	2800.0
112-59-4	16000.0	6000.0	10000.0
112-70-9	16200.0	3100.0	9000.0
112-73-2	15800.0	4700.0	4400.0
112-79-8	16000.0	2800.0	6200.0
115-07-1	15100.0	1600.0	1500.0
115-10-6	15200.0	6100.0	5700.0
115-11-7	14500.0	2000.0	1500.0
115-86-6	20100.0	6400.0	6800.0
116-11-0	14800.0	4200.0	5600.0
117-84-0	16600.0	7000.0	3100.0
118-74-1	21900.0	2100.0	0.0
118-79-6	20600.0	10200.0	14100.0
118-96-7	19500.0	3700.0	4500.0
119-06-2	16600.0	5400.0	1900.0
119-36-8	18100.0	8000.0	13900.0
119-53-9	19900.0	9700.0	10700.0
119-61-9	19600.0	8600.0	5700.0
119-64-2	19600.0	2000.0	2900.0
120-51-4	20000.0	5100.0	5200.0
120-72-9	19800.0	7500.0	6500.0
120-80-9	20000.0	11300.0	21800.0
120-82-1	20200.0	6000.0	3200.0
120-83-2	20000.0	7200.0	13100.0
