CAS	Tm	Tb	Vms	Vml
10052-47-8	557.15			
100520-15-8				0.00020249114
1005205-27-5	556.65			
100523-84-0	390.65			
100524-26-3	437.15			
100525-63-1				
100526-36-1				0.00022848269
100532-14-7				
10054-09-8				0.00018027122
10054-20-3	329.15			
10054-21-4	312.15			
10054-22-5	349.15			
10054-29-2	360.15			
1005402-20-9	516.65			
1005494-37-0	417.15			
1005500-76-4	372.65			
100553-56-8	443.15			
10056-19-6	449.65			
10056-70-9	419.15			
10058-07-8	432.65			
10058-38-5	459.15			
100587-64-2	493.65			
100595-17-3	399.65			
1006-02-6		339.15		
1006-05-9				
1006-08-2	629.65			
1006-21-9	512.65			
1006-23-1	618.15			
1006-24-2	470.65			
1006-27-5				
1006-29-7	388.15			
1006-33-3				
1006-39-9				
1006-41-3	444.9			
1006-50-4	372.65			
1006-51-5	398.65			
1006-59-3	310.65	492.15		
1006-65-1	383.65		0.00012744513	
1006-68-4	314.65			
1006-71-9				
1006-94-6	330.15	450.15		
1006-99-1	335.15	353.15		
10060-88-5	512.15			
1006037-04-2	503.1			
1006062-27-6	434.15			
1006062-28-7	444.15			
10061-01-5	223.15	377.45		9.0661765e-05
10061-02-6		385.15		
10061-32-2	447.15			
10061-40-2	325.65	417.15	9.6435748e-05	
10061-71-9				
100616-10-2	426.15			
10062-39-2	525.15			
100622-41-1	485.65			
100643-71-8	427.4			
100646-51-3	349.65	493.15		
10065-72-2				
10065-79-9	421.65			
10066-11-2	486.15			
10066-20-3	497.15			
1006619-83-5	442.15			
100665-43-8	492.15			
1006694-45-6	462.65			
100678-32-8	438.15			
10068-67-4	391.15			
1007-01-8	368.15			
1007-03-0				
1007-15-4	330.15	503.15		
1007-16-5	429.15			
1007-18-7	527.65			
1007-19-8	324.15			
1007-27-8				
1007-28-9	451.15			
1007-32-5	345.65	503.15	0.00014790419	
1007-33-6	400.65			
1007-36-9	423.15			
1007-48-3				
1007-49-4				
1007-57-4				
10070-48-1	491.65			
100703-98-8				
100704-38-9	469.15			
100704-39-0	471.15			
100710-37-0				
1007105-57-8	318.15	415.65		
1007107-52-9	396.15			
10072-09-0				
10072-48-7	391.15			
10072-97-6	483.65			
10075-38-4		319.15		
10075-50-0	364.15			
10075-51-1	367.15			
10075-52-2	315.65			
10075-62-4	356.65			
10075-63-5	456.65			
10075-66-8	323.15			
10075-73-7	368.15			
10075-76-0	358.15			
10075-85-1	530.65			
100751-65-3	336.15			
10076-48-9				0.00013875258
10076-57-0				0.00025827862
10078-25-8	417.65			
100784-20-1	449.15			
100784-27-8	398.65			
100791-01-3	467.15			
1008-17-9		513.05		
1008-30-6	459.15			
1008-50-0	433.15			
1008-65-7	384.65	453.15		
1008-73-7	317.15			
1008-76-0	310.65		0.00010524301	
1008-79-3	428.65			
1008-88-4	437.15	545.15		
1008-89-5	421.65	544.15	0.00014326595	
1008-91-9	413.15			
1008-92-0	327.15			
1008-95-3	424.65			
1008-97-5	420.15			
10081-67-1	372.65			
100827-28-9	353.15			
100829-68-3	536.65			
10083-24-6	489.15			
1008361-76-9	476.15			
100840-64-0	428.15			
1008428-33-8	426.15			
100848-70-2	409.15			
10085-81-1	594.15			
100853-68-7	422.15			
100865-38-1	413.15			
100868-46-0	322.15			
100869-87-2	324.15			
10087-65-7	435.65			
10087-89-5	429.15			
100874-09-7	436.15			
10088-45-6	364.15		0.00015687204	
10088-87-6	528.15			
10088-95-6	494.65			
100884-13-7	484.15			
100884-80-8	668.15			
10089-23-3	527.65			
10089-93-7	431.15			
1009-11-6	364.15		0.00015735506	
1009-14-9	263.75	518.15		0.0001642004
1009-22-9	392.65			
1009-36-5	355.65			
1009-44-5				0.00018900096
1009-61-6	385.15			
1009-62-7	404.15			
1009-85-4	315.15			
1009-89-8	402.15			
1009-93-4	263.15	461.15		0.00023833876
10090-05-8	376.65		0.00020374092	
10090-27-4	566.15			
100905-33-7	372.65			
10091-01-7	480.15			
10091-84-6	501.65			
10091-92-6	513.15			
100910-67-6	537.15			
100910-69-8	351.65			
100912-15-0				
100914-36-1	561.65			
10092-04-3	433.15			
100924-68-3	381.15			
1009306-56-2	416.65			
1009330-44-2	462.15			
100937-75-5				
100937-79-9				
10094-36-7				
10094-40-3		445.15		
10094-45-8	343.15			
100940-00-9	503.15			
100948-83-2	329.15			
100948-84-3	341.65			
100948-85-4	508.15			
100949-33-5	499.15			
10095-06-4	499.15			
100958-69-8	512.65			
100959-22-6	356.65			
100959-30-6	393.65			
100959-52-2	477.15			
100960-03-0	513.65			
100960-08-5	526.15			
10097-02-6	374.15			
10097-09-3	618.15			
10097-11-7	405.65			
10097-16-2	407.65			
10097-28-6	2153.15		2.0697136e-05	
1009735-23-2	327.65			
10098-39-2	366.65			
100981-43-9	417.4			
100986-85-4	499.15			
100986-86-5	458.15			
10099-57-7				0.00017099427
10099-58-8	1133.15			
10099-66-8		1695.15		
10099-71-5				0.00026307471
10099-74-8	743.15		5.9649634e-05	
