CAS	Tt	Tm	Tb	Tc	Pt	Pc	Vc	Hfs	Hfl	Hfg	S0s	S0l	S0g	Hsub	Hfus	Hvap	AntoineTmin	AntoineTmax	AntoineA	AntoineB	AntoineC
10241039								-714210		-524260	145.79		339.34								
10241040										-163590			334.31								
10241051								-527180	-510110	-447690	238.6	273.81	397.81								
10250483									-556100	-511700						44160.093					
10259220			533.65																		
10263964		452																			
10265926		319.85																			
10276092			458.2																		
10279966		440																			
10284498									-153800	-83000						71100					
102877010			401.59827																		
102877021			403																		
10289459		274	569																		
10294334		226.15		573.15			0.00027855153		-238490	-204180		228.87	324.19				273	361.1	20.761305	2906.9768	-48.318
10294345				0						-402960			290.17				181.7	285.9	20.611475	2242.7064	-38.994
10294549								-1442640	-1400140	-1122570		246.48	406.47								
102943771			423																		
103004		318.75															423.6	511.22	21.180398	3914.694	-105.721
103015								-396710		-268700				128000							
103026								-192000	-161300												
103082			498																		
103093			472.48973																		
103117			490.2														323	489	22.875032	5111.8172	-38.812
103173		344.15																			
103208			536.95789																		
103231		161.5										865									
103253			511.7																		
103264		308	534.2														350.6	536	22.197128	5165.3891	-52.034
103297	324.34	325	556					51263.949		135363.95	267.39651			90402.392			360	557	22.705723	5922.5965	-27.406
103300	397.69006	396	579.55					134633.27		221233.27	247			98000		79700					
103322		307.575	579.7																		
103333		340.58578	566.2					374000						93840			376.7	566	23.237159	6151.3538	-41.23
103366			544.2078														360.8	544	23.19668	5918.8456	-37.258
103413																	447	623	26.944597	9025.9102	-37.805
103457			508.83387													67400					
103491		247.05	573.18916						97100								391.5	573	24.40229	6879.4657	-38.789
103504		293	550.15381																		
103548			538.2																		
103639		217.22	493.7														400.6	490.33	23.185351	5431.9594	-22.96
103640																	383.34	402.42	6.2993432	176.7188	-462.288
103651	172.595	173	432	638.40351		3199946.5	0.00044		-38400	7820		287.78	397.86			46000	348.97	433.39	20.897894	3433.0692	-66
103673			456.78529																		
103695		209.65	479						3154.4484	55254.448						58188.798	323	479.9	24.505837	6468.0007	20.856
103719				675		4540000	0.00034153005		-54512.279	-16248.645						45928.99	283.8	438.8	21.927265	4146.3962	-40.303
103720			492.9						212000								320.4	491.7	21.741239	4445.1705	-58.467
103731		243.59183	443.4	647.075		3423190			-152682.93	-105345.6						50908.336	390.58	453.8	21.05645	3470.6105	-78.793
103764			519.265						-227600							78800					
103797		257.8	489.7						-155566.67	-94640						56000					
103800			482														321	483	23.079639	5121.4719	-39.584
103811								-219857.35													
103822		348.29933	538.7											96024.354		79100					
103833			454.12218													49779.176					
103844	387.52	388	577.20035					-209462.93									387	576.9	23.884347	6724.2968	-32.916
103888														110000							
103899			580.2																		
103902		441.13648												138000							
103957																72600					
103043512		321.3																			
10305381		270																			
10305392		288																			
1031078		420.86																			
10311849		341.23																			
10312831			365.5																		
10315590			414.36003						-567000	-524000						44000					
10323203								-1057900													
10324580			469.48433																		
10325390										-248110			268.26								
10327089			476.7																		
10329905		405																			
103386578								194400													
10339603																78800					
10340224																78700					
103434099								105200		165800				60590							
10352871									-443000	-395000						48000					
10353534			393.2																		
10359021									-422200												
10359203								349150.48		423050.48				73890							
10361372								-858560	-832470	-498730	123.7	143.52	325.73								
10361792														332000							
10365943										509600											
10377487								-1436370	-1399300	-1041820		154.24	322.81								
10377512								-270080	-258350	-91000	85.65	98.61	232.25								
10377589								-366940	-342250	-160250	129.67	155.66	317.48								
10378015																110600					
103905528										83000											
10395503																61300					
10395514																53010					
104018		358																			
104041		489.1																			
104096			494.7																		
104121								-83700								49800	323	433	33.220132	15285.449	234.438
104198		220.3																			
104416		278.1																			
104461		295	507.99574													61900					
104472			559.7																		
