CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
97-99-4	17800.0	8200.0	12900.0
98-00-0	17400.0	7600.0	15100.0
98-01-1	18600.0	14900.0	5100.0
98-07-7	19400.0	3200.0	3200.0
98-08-8	17500.0	8800.0	0.0
98-82-8	18100.0	1200.0	1200.0
98-83-9	18500.0	2400.0	2400.0
98-86-2	18800.0	9000.0	4000.0
98-87-3	19000.0	7600.0	2400.0
98-88-4	19300.0	6800.0	4500.0
98-95-3	20000.0	10600.0	3100.0
99-09-2	21400.0	17700.0	10600.0
99-54-7	20100.0	7200.0	4100.0
99-75-2	19000.0	6500.0	3800.0
99-91-2	19600.0	7600.0	4000.0
99-99-0	19500.0	11000.0	3600.0
100-00-5	20200.0	8900.0	3900.0
100-02-7	20000.0	14500.0	14200.0
100-06-1	18900.0	11200.0	7000.0
100-21-0	20000.0	7400.0	12800.0
100-37-8	15700.0	5800.0	12000.0
100-41-4	17800.0	600.0	1400.0
100-42-5	18600.0	1000.0	4100.0
100-43-6	18100.0	7200.0	6800.0
100-44-7	18800.0	7100.0	2600.0
100-46-9	19000.0	4600.0	9400.0
100-47-0	18800.0	12000.0	3300.0
100-51-6	18400.0	6300.0	13700.0
100-52-7	19400.0	7400.0	5300.0
100-61-8	19500.0	6000.0	7800.0
100-63-0	20400.0	6500.0	14000.0
100-66-3	17800.0	4400.0	6900.0
100-68-5	19600.0	4800.0	4700.0
100-74-3	17700.0	5000.0	6600.0
100-97-0	19400.0	7000.0	16000.0
101-68-8	19500.0	4100.0	1700.0
101-81-5	19500.0	1000.0	1000.0
101-84-8	19400.0	3400.0	4000.0
102-52-3	15000.0	7100.0	6800.0
102-71-6	17300.0	7600.0	21000.0
102-76-1	16500.0	4500.0	9100.0
102-94-3	19100.0	3900.0	10600.0
103-09-3	15800.0	2900.0	5100.0
103-11-7	15300.0	4300.0	3000.0
103-24-2	16200.0	4700.0	8400.0
103-36-6	18400.0	8200.0	4100.0
103-44-6	15600.0	3400.0	4200.0
103-50-4	19600.0	3400.0	5200.0
103-73-1	18400.0	4500.0	4000.0
103-84-4	20600.0	14400.0	13500.0
103-90-2	17800.0	10500.0	13900.0
104-40-5	16500.0	4100.0	9200.0
104-46-1	18500.0	4300.0	6000.0
104-51-8	17400.0	100.0	1100.0
104-54-1	19100.0	6000.0	13000.0
104-76-7	15900.0	3300.0	11800.0
104-80-3	17900.0	8500.0	18900.0
104-88-1	19900.0	7200.0	5600.0
104-94-9	19900.0	6500.0	11300.0
105-05-5	18000.0	0.0	600.0
105-06-6	18600.0	1000.0	7000.0
105-30-6	15800.0	4900.0	13500.0
105-34-0	16900.0	14900.0	9900.0
105-37-3	15500.0	6100.0	4900.0
105-38-4	15600.0	8000.0	4700.0
105-45-3	16400.0	8600.0	8900.0
105-46-4	15000.0	3700.0	7600.0
105-53-3	16100.000000000002	7700.0	8300.0
105-54-4	15500.0	5600.0	5000.0
105-56-6	16700.0	7900.0	8300.0
105-57-7	15000.0	3400.0	4000.0
105-58-8	15100.0	6300.0	3500.0
105-60-2	19400.0	13800.0	3900.0
105-68-0	15700.0	5200.0	5600.0
105-75-9	16700.0	3000.0	6700.0
105-76-0	16500.0	6100.0	7200.0
106-20-7	15600.0	800.0	3200.0
106-31-0	15800.0	10300.0	4500.0
106-35-4	16200.0	5000.0	4100.0
106-36-5	15500.0	5600.0	5700.0
106-38-7	19300.0	6800.0	4100.0
106-42-3	17800.0	1000.0	3100.0
106-43-4	19100.0	6200.0	2600.0
106-46-7	19700.0	5600.0	2700.0
106-54-7	20800.0	8600.0	10600.0
106-63-8	15500.0	6200.0	5000.0
106-65-0	16100.000000000002	7700.0	8800.0
106-68-3	16200.0	4500.0	4100.0
106-74-1	15900.0	5100.0	9300.0
106-79-6	16600.0	2900.0	6700.0
106-88-7	16300.0	6200.0	5900.0
106-89-8	17500.0	7600.0	7600.0
106-91-2	16300.0	8500.0	5700.0
106-93-4	19200.0	3500.0	8600.0
106-94-5	16400.0	7900.0	4800.0
106-95-6	16500.0	7300.0	4900.0
106-96-7	18100.0	6500.0	5300.0
106-97-8	14100.0	0.0	0.0
106-98-9	13200.0	1300.0	3900.0
106-99-0	14800.0	2800.0	5600.0
107-00-6	15100.0	3400.0	5000.0
107-02-8	15500.0	10000.0	8600.0
107-03-9	16100.000000000002	5800.0	5700.0
107-05-1	17000.0	6200.0	2300.0
107-06-2	18000.0	7400.0	4100.0
